gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.321,1.342,3.138,4.48,2899,0,1860.3,355.746,584
5.354,1.306,3.119,4.425,267,0,1765.811,352.461,584
5.348,1.278,3.113,4.391,79,0,1834.567,364.833,584
5.282,1.265,3.102,4.367,90,0,1801.639,355.121,584
5.344,1.273,3.102,4.375,72,0,1862.813,360.525,584
5.378,1.27,3.091,4.361,81,0,1822.923,355.181,584
5.369,1.254,3.097,4.351,83,0,1831.176,363.996,584
5.4,1.26,3.097,4.358,62,0,1717.801,355.454,584
5.29,1.241,3.087,4.328,60,0,1810.606,342.899,584
5.298,1.245,3.076,4.321,74,0,1791.976,340.042,584
5.248,1.247,3.086,4.333,58,0,1841.355,371.338,584
5.308,1.231,3.076,4.307,89,0,1781.563,362.556,584
5.311,1.242,3.071,4.313,97,0,1841.158,366.828,583
5.324,1.229,3.065,4.294,77,0,1893.254,362.831,584
5.308,1.24,3.053,4.293,104,0,1796.773,354.996,584
5.314,1.242,3.037,4.279,77,0,1820.669,361.535,584
5.276,1.263,3.033,4.296,118,0,1842.692,332.819,584
5.258,1.267,3.025,4.292,76,0,1871.397,364.984,584
5.358,1.26,3.001,4.261,120,0,1789.913,334.041,584
5.301,1.254,3.012,4.266,113,0,1785.622,336.532,584
5.296,1.261,3.009,4.271,96,0,1852.041,384.277,584
5.314,1.27,3.018,4.288,70,0,1805.629,359.671,584
5.284,1.258,3.011,4.269,74,0,1783.245,343.895,584
5.218,1.243,3.02,4.262,53,0,1886.712,365.444,584
5.248,1.242,3.023,4.265,89,0,1860.419,372.561,584
5.121,1.257,3.032,4.289,68,0,1851.924,369.906,584
5.19,1.269,3.023,4.292,60,0,1867.831,352.34,584
5.174,1.277,3.031,4.308,42,0,1807.499,365.432,584
5.162,1.269,3.027,4.296,72,0,1847.292,381.527,584
5.227,1.295,3.016,4.311,76,0,1784.846,329.671,584
5.226,1.304,3.012,4.316,91,0,1782.416,350.93,584
5.253,1.296,3.007,4.303,74,0,1866.541,363.137,584
5.239,1.322,3.017,4.338,84,0,1884.22,382.891,584
5.249,1.324,3.011,4.335,84,0,1848.935,357.412,584
5.234,1.337,2.998,4.335,81,0,1748.14,354.662,584
5.204,1.305,3.007,4.312,98,0,1791.247,370.379,584
5.294,1.271,3.01,4.281,68,0,1860.778,363.031,584
5.249,1.241,3.01,4.25,102,0,1805.47,330.696,584
5.205,1.219,3.016,4.235,97,0,1819.985,347.08,584
5.214,1.198,3.02,4.219,114,0,1788.259,333.767,584
5.241,1.168,3.014,4.181,98,0,1814.12,366.728,584
5.288,1.147,3.02,4.167,87,0,1820.807,383.164,584
5.314,1.151,3.018,4.169,59,0,1901.042,385.091,584
5.311,1.123,3.027,4.15,61,0,1872.59,379.999,584
5.31,1.149,3.024,4.173,95,0,1788.78,375.37,584
5.268,1.149,3.034,4.183,72,0,1824.394,343.358,584
5.217,1.16,3.049,4.209,94,0,1830.355,357.03,584
5.181,1.179,3.034,4.213,48,0,1770.974,336.273,584
5.258,1.151,3.028,4.179,80,0,1789.098,356.887,584
5.264,1.156,3.036,4.192,69,0,1800.155,375.585,584
5.238,1.132,3.043,4.176,77,0,1795.769,360.649,584
5.257,1.129,3.054,4.183,78,0,1777.364,359.718,584
5.266,1.129,3.046,4.175,87,0,1750.148,341.526,584
5.181,1.113,3.037,4.15,66,0,1821.881,356.308,584
5.342,1.116,3.023,4.139,67,0,1834.07,357.163,584
5.301,1.115,3.035,4.15,79,0,1791.408,341.358,584
5.309,1.083,3.046,4.13,104,0,1811.506,348.809,584
5.288,1.088,3.041,4.129,92,0,1766.419,321.894,584
5.212,1.095,3.032,4.127,83,0,1842.154,332.575,584
5.317,1.097,3.032,4.128,54,0,1817.357,340.074,584
5.205,1.103,3.029,4.132,76,0,1761.859,350.675,584
5.238,1.136,3.03,4.165,98,0,1846.338,352.189,584
5.284,1.188,3.022,4.21,103,0,1813.267,337.386,584
5.193,1.202,3.028,4.229,98,0,1837.281,347.604,584
5.177,1.194,3.035,4.228,77,0,1686.668,350.059,584
5.143,1.168,3.042,4.21,64,0,1802.618,358.863,584
5.138,1.157,3.043,4.201,76,0,1824.378,365.901,584
5.162,1.142,3.034,4.176,73,0,1801.667,370.819,584
5.187,1.127,3.027,4.154,98,0,1813.012,327.975,584
