gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.185,0.072,4.016,4.088,2921,0,2.47,2.24,2732
5.323,0.074,3.984,4.059,69,0,2.5,2.25,2695
5.324,0.076,3.964,4.04,42,0,2.5,2.22,2665
5.318,0.08,3.942,4.022,42,0,2.53,2.22,2631
5.233,0.082,3.931,4.013,43,0,2.59,2.25,2610
5.247,0.083,3.916,4.0,39,0,2.64,2.27,2587
5.267,0.09,3.881,3.97,69,0,2.64,2.22,2526
5.276,0.091,3.867,3.959,39,0,2.69,2.23,2495
5.34,0.095,3.84,3.935,62,0,2.76,2.26,2455
5.346,0.096,3.809,3.905,47,0,2.82,2.28,2414
5.285,0.098,3.788,3.886,53,0,2.83,2.24,2375
5.319,0.1,3.77,3.869,42,0,2.87,2.24,2353
5.339,0.104,3.745,3.85,30,0,2.91,2.25,2323
5.32,0.103,3.739,3.842,39,0,2.94,2.25,2308
5.254,0.105,3.709,3.814,36,0,2.94,2.24,2278
5.266,0.11,3.686,3.796,37,0,2.98,2.24,2245
5.257,0.113,3.654,3.767,51,0,3.05,2.25,2200
5.344,0.117,3.629,3.746,62,0,3.09,2.23,2162
5.391,0.115,3.607,3.722,70,0,3.16,2.24,2124
5.222,0.123,3.576,3.699,51,0,3.21,2.22,2073
5.225,0.126,3.558,3.684,63,0,3.36,2.28,2032
5.247,0.13,3.535,3.665,56,0,3.39,2.27,2004
5.261,0.128,3.525,3.654,39,0,3.42,2.27,1991
5.257,0.124,3.514,3.638,38,0,3.45,2.25,1965
5.234,0.122,3.506,3.628,39,0,3.49,2.29,1956
5.302,0.121,3.507,3.628,69,0,3.45,2.24,1959
5.315,0.126,3.486,3.611,52,0,3.49,2.24,1931
5.337,0.13,3.466,3.596,53,0,3.57,2.27,1910
5.385,0.134,3.448,3.581,46,0,3.63,2.29,1893
5.265,0.134,3.446,3.58,30,0,3.55,2.25,1897
5.277,0.133,3.454,3.587,35,0,3.52,2.24,1904
5.263,0.137,3.447,3.583,45,0,3.55,2.26,1893
5.329,0.14,3.427,3.568,60,0,3.63,2.25,1851
5.258,0.137,3.42,3.558,55,0,3.65,2.27,1852
5.26,0.137,3.421,3.558,37,0,3.63,2.23,1849
5.278,0.141,3.416,3.556,57,0,3.65,2.25,1846
5.22,0.14,3.414,3.554,39,0,3.66,2.26,1849
5.336,0.141,3.405,3.546,26,0,3.68,2.25,1833
5.291,0.14,3.399,3.539,39,0,3.68,2.26,1826
5.345,0.14,3.403,3.543,53,0,3.65,2.24,1831
5.342,0.141,3.387,3.529,63,0,3.7,2.23,1807
5.27,0.144,3.382,3.526,44,0,3.74,2.24,1795
5.286,0.153,3.37,3.523,68,0,3.82,2.26,1773
5.259,0.152,3.376,3.528,52,0,3.79,2.24,1776
5.304,0.149,3.369,3.517,39,0,3.83,2.26,1767
5.321,0.145,3.379,3.525,45,0,3.76,2.21,1778
5.261,0.147,3.366,3.512,78,0,3.82,2.25,1754
5.302,0.143,3.375,3.518,64,0,3.86,2.25,1756
5.22,0.14,3.385,3.525,54,0,3.83,2.24,1758
5.24,0.14,3.38,3.52,65,0,3.79,2.21,1755
5.224,0.139,3.399,3.538,49,0,3.77,2.23,1774
5.257,0.137,3.413,3.551,51,0,3.8,2.28,1785
5.301,0.136,3.418,3.554,30,0,3.75,2.25,1801
5.337,0.137,3.412,3.549,66,0,3.79,2.27,1793
5.319,0.138,3.407,3.546,51,0,3.84,2.28,1772
5.255,0.135,3.406,3.54,59,0,3.86,2.28,1769
5.256,0.133,3.416,3.549,45,0,3.8,2.27,1782
5.254,0.128,3.423,3.551,35,0,3.78,2.27,1795
5.256,0.136,3.418,3.553,63,0,3.78,2.23,1778
5.331,0.131,3.424,3.556,60,0,3.79,2.24,1786
5.266,0.131,3.433,3.564,49,0,3.79,2.26,1791
5.237,0.133,3.446,3.578,42,0,3.76,2.27,1808
5.28,0.132,3.448,3.58,64,0,3.72,2.23,1810
5.253,0.13,3.452,3.583,45,0,3.75,2.25,1807
5.288,0.131,3.458,3.589,66,0,3.7,2.23,1811
5.236,0.131,3.454,3.584,66,0,3.68,2.23,1815
5.281,0.13,3.461,3.591,65,0,3.69,2.21,1818
5.299,0.137,3.465,3.602,75,0,3.7,2.21,1822
5.273,0.135,3.472,3.607,48,0,3.7,2.23,1828
5.325,0.135,3.472,3.606,48,0,3.64,2.23,1835
5.355,0.133,3.48,3.613,21,0,3.64,2.23,1850
5.343,0.132,3.495,3.627,51,0,3.59,2.23,1873
5.334,0.132,3.489,3.622,51,0,3.58,2.22,1876
5.364,0.132,3.501,3.633,43,0,3.56,2.24,1882
5.267,0.137,3.488,3.625,45,0,3.61,2.24,1863
5.267,0.139,3.489,3.628,42,0,3.62,2.26,1863
5.293,0.132,3.505,3.638,42,0,3.57,2.24,1881
5.242,0.13,3.502,3.632,54,0,3.61,2.29,1869
5.276,0.13,3.501,3.631,51,0,3.66,2.26,1858
5.305,0.131,3.503,3.634,44,0,3.64,2.27,1866
5.2,0.131,3.493,3.625,69,0,3.68,2.27,1854
5.263,0.129,3.497,3.626,18,0,3.64,2.24,1860
5.221,0.126,3.509,3.635,45,0,3.62,2.27,1875
5.296,0.131,3.503,3.634,75,0,3.61,2.23,1860
5.288,0.131,3.502,3.633,78,0,3.63,2.26,1860
5.275,0.131,3.497,3.628,40,0,3.69,2.3,1860
5.292,0.132,3.482,3.614,42,0,3.65,2.25,1850
5.374,0.129,3.478,3.607,43,0,3.72,2.28,1839
5.242,0.132,3.474,3.606,42,0,3.73,2.27,1837
5.302,0.133,3.479,3.612,75,0,3.67,2.25,1852
5.197,0.135,3.473,3.608,64,0,3.69,2.29,1858
5.165,0.131,3.484,3.614,47,0,3.67,2.29,1877
5.191,0.131,3.47,3.601,64,0,3.64,2.25,1873
5.24,0.13,3.469,3.599,48,0,3.6,2.28,1885
5.233,0.134,3.464,3.598,81,0,3.6,2.25,1872
5.322,0.134,3.461,3.595,53,0,3.62,2.26,1869
5.281,0.134,3.464,3.598,48,0,3.65,2.29,1877
5.301,0.138,3.458,3.596,48,0,3.57,2.25,1875
5.272,0.137,3.464,3.601,57,0,3.57,2.26,1888
5.252,0.137,3.469,3.605,37,0,3.58,2.25,1899
5.27,0.136,3.48,3.616,51,0,3.56,2.25,1907
5.226,0.139,3.477,3.615,47,0,3.6,2.29,1900
5.172,0.137,3.481,3.617,39,0,3.6,2.29,1903
5.21,0.137,3.482,3.619,48,0,3.58,2.26,1905
5.262,0.142,3.474,3.616,51,0,3.56,2.26,1908
