gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.36,2.182,3.336,5.519,252,48,2.56,0,0
5.06,2.1,3.368,5.468,53,19,2.55,0,0
4.96,2.146,3.361,5.506,38,17,2.51,0,0
5.05,2.285,3.374,5.66,13,9,2.49,0,0
5.08,2.294,3.364,5.658,20,7,2.47,0,0
5.11,1.913,3.382,5.295,38,10,2.54,0,0
5.02,2.138,3.336,5.474,15,16,2.55,0,0
5.03,2.34,3.368,5.708,42,13,2.58,0,0
5.22,2.649,3.376,6.025,15,9,2.51,0,0
5.35,3.052,3.37,6.423,25,16,2.52,0,0
4.87,2.992,3.273,6.264,30,13,2.64,0,0
5.3,3.2,3.322,6.521,22,11,2.59,0,0
4.72,2.83,3.293,6.123,34,7,2.65,0,0
5.01,2.941,3.329,6.271,22,12,2.6,0,0
5.03,3.083,3.352,6.435,23,16,2.56,0,0
4.85,3.132,3.355,6.487,36,18,2.51,0,0
5.08,3.081,3.384,6.465,27,16,2.54,0,0
5.24,2.816,3.364,6.18,20,16,2.56,0,0
4.49,2.346,3.387,5.733,39,15,2.58,0,0
5.39,1.948,3.31,5.258,50,11,2.66,0,0
4.91,2.184,3.319,5.503,15,12,2.65,0,0
5.09,2.347,3.233,5.58,36,9,2.69,0,0
5.01,2.753,3.256,6.008,14,13,2.63,0,0
5.29,2.658,3.284,5.943,26,11,2.55,0,0
5.32,2.731,3.309,6.04,22,13,2.54,0,0
4.99,2.458,3.331,5.789,21,16,2.54,0,0
5.17,2.571,3.352,5.923,15,14,2.52,0,0
5.13,2.302,3.364,5.666,15,15,2.57,0,0
5.14,2.892,3.258,6.15,23,21,2.64,0,0
5.2,2.548,3.318,5.865,37,12,2.67,0,0
4.99,2.381,3.244,5.625,37,14,2.74,0,0
4.81,2.589,3.208,5.797,15,13,2.78,0,0
5.08,2.474,3.215,5.689,23,15,2.77,0,0
5.12,2.275,3.098,5.374,45,11,2.89,0,0
5.16,2.245,3.04,5.285,26,12,2.86,0,0
5.18,2.305,3.046,5.351,17,11,2.83,0,0
5.05,2.294,3.058,5.352,33,17,2.77,0,0
5.14,2.92,3.077,5.997,20,21,2.7,0,0
5.0,2.863,3.034,5.897,34,15,2.74,0,0
5.1,2.426,3.045,5.471,34,20,2.81,0,0
5.1,2.243,3.06,5.303,18,11,2.82,0,0
5.45,2.273,3.066,5.339,32,13,2.85,0,0
5.29,2.479,3.11,5.588,21,15,2.78,0,0
5.22,2.622,3.06,5.682,19,16,2.77,0,0
4.87,3.039,2.966,6.005,43,22,2.85,0,0
5.2,3.377,3.033,6.409,33,17,2.78,0,0
5.07,3.032,3.105,6.138,30,10,2.75,0,0
4.85,3.432,3.136,6.568,8,19,2.63,0,0
4.77,3.764,3.137,6.901,24,24,2.58,0,0
5.22,3.837,3.141,6.978,9,18,2.57,0,0
4.63,3.932,3.105,7.037,43,25,2.55,0,0
4.59,3.838,3.085,6.923,30,23,2.56,0,0
4.75,3.488,2.988,6.476,28,14,2.67,0,0
4.84,3.623,3.0,6.622,14,19,2.67,0,0
4.73,3.387,3.005,6.392,43,26,2.65,0,0
4.73,2.519,3.022,5.54,50,23,2.73,0,0
5.06,2.354,2.974,5.328,12,14,2.77,0,0
4.85,2.061,2.98,5.041,24,12,2.8,0,0
5.25,1.948,3.028,4.976,15,17,2.77,0,0
4.91,1.914,3.022,4.937,31,17,2.76,0,0
5.28,2.044,3.025,5.069,39,21,2.72,0,0
4.8,2.396,3.067,5.463,24,17,2.7,0,0
5.06,2.352,3.169,5.521,50,20,2.56,0,0
5.14,2.973,3.141,6.114,26,26,2.48,0,0
4.98,2.775,3.163,5.937,39,18,2.46,0,0
