gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
16.68,0.749,3.054,3.971,282,0,2.43,0.07,41,0.45,235,327,276,162
17.06,0.715,3.091,3.973,140,0,2.51,0.09,52,0.3,274,277,276,173
16.73,0.711,3.099,3.975,42,0,2.55,0.09,54,0.08,297,248,272,183
16.85,0.702,3.124,3.992,91,0,2.55,0.07,44,0.13,297,241,276,186
16.59,0.705,3.139,4.015,37,0,2.53,0.07,44,0.08,293,225,286,196
16.72,0.715,3.134,4.021,26,0,2.48,0.07,44,0.05,269,245,300,186
16.29,0.702,3.156,4.03,21,0,2.46,0.07,44,0.03,258,253,303,186
16.91,0.698,3.143,4.016,84,0,2.49,0.07,43,0.16,270,267,277,186
16.62,0.715,3.123,4.017,42,0,2.47,0.06,34,0.09,262,271,293,174
16.75,0.69,3.167,4.03,59,0,2.43,0.07,44,0.09,242,283,294,181
17.16,0.689,3.151,4.012,38,0,2.47,0.07,44,0.07,265,255,294,186
16.63,0.678,3.199,4.043,92,0,2.42,0.1,59,0.2,244,245,316,195
16.39,0.692,3.178,4.04,61,0,2.44,0.09,52,0.14,253,237,314,196
16.29,0.694,3.158,4.024,40,0,2.43,0.07,41,0.05,249,249,322,180
16.64,0.715,3.187,4.067,94,0,2.39,0.1,61,0.15,239,222,339,200
16.59,0.694,3.22,4.083,70,0,2.34,0.09,53,0.15,218,232,354,196
16.58,0.686,3.243,4.094,70,0,2.29,0.09,54,0.16,197,242,347,214
16.88,0.654,3.248,4.064,41,0,2.33,0.09,54,0.11,214,232,352,202
16.76,0.661,3.247,4.067,54,0,2.33,0.1,61,0.1,214,236,343,207
16.77,0.665,3.241,4.065,63,0,2.32,0.11,65,0.1,206,256,331,207
16.52,0.67,3.224,4.053,115,0,2.36,0.12,74,0.16,224,246,327,203
16.34,0.645,3.237,4.038,20,0,2.35,0.12,74,0.04,217,260,337,186
17.14,0.644,3.247,4.05,44,0,2.33,0.12,73,0.18,208,253,356,183
16.23,0.658,3.199,4.017,71,0,2.41,0.14,81,0.14,244,231,356,169
16.38,0.652,3.169,3.983,35,0,2.46,0.12,73,0.05,259,240,367,134
16.39,0.672,3.195,4.033,66,6,2.44,0.13,80,0.11,257,225,373,145
16.83,0.671,3.22,4.061,63,0,2.45,0.14,86,0.14,264,199,363,174
16.7,0.684,3.239,4.092,94,0,2.42,0.17,100,0.14,262,159,374,205
16.4,0.645,3.264,4.075,71,0,2.42,0.18,110,0.14,259,169,351,221
16.37,0.637,3.24,4.043,112,0,2.43,0.16,93,0.16,256,205,329,210
16.76,0.639,3.252,4.063,112,0,2.41,0.11,66,0.17,251,191,333,225
16.69,0.636,3.257,4.064,12,0,2.4,0.12,71,0.04,248,191,343,218
16.92,0.628,3.237,4.037,100,0,2.46,0.1,58,0.13,271,191,327,211
16.31,0.618,3.256,4.043,71,0,2.47,0.1,61,0.1,279,173,318,230
16.07,0.607,3.274,4.049,60,1,2.49,0.11,63,0.12,284,178,306,232
16.85,0.58,3.303,4.051,104,0,2.54,0.14,82,0.15,305,182,272,241
16.58,0.552,3.327,4.046,104,0,2.56,0.16,96,0.21,314,167,287,232
16.21,0.55,3.337,4.05,51,0,2.53,0.18,106,0.07,302,162,307,229
16.26,0.576,3.326,4.063,61,0,2.49,0.16,96,0.14,280,201,280,239
16.76,0.563,3.37,4.096,78,0,2.45,0.15,90,0.1,269,194,278,259
16.97,0.582,3.349,4.093,68,0,2.51,0.15,93,0.11,291,185,256,268
16.22,0.577,3.319,4.064,72,0,2.53,0.15,90,0.11,299,196,272,233
16.77,0.591,3.31,4.071,107,0,2.47,0.11,69,0.15,270,218,265,247
16.56,0.625,3.275,4.068,71,0,2.46,0.11,68,0.13,266,226,267,241
16.33,0.648,3.216,4.034,94,0,2.46,0.09,55,0.17,257,270,277,196
16.71,0.665,3.246,4.079,71,0,2.37,0.09,52,0.12,222,277,280,221
16.86,0.649,3.28,4.093,96,0,2.3,0.1,60,0.15,191,292,286,231
