gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
32.68,1.055,3.272,4.548,238,658,2.09,0,0,0.11,270,377,454,899
31.86,1.195,3.276,4.688,77,432,2.11,0,0,0.05,297,306,386,1011
31.39,1.261,3.298,4.777,124,495,2.11,0,0,0.05,307,253,406,1034
31.63,1.326,3.332,4.877,145,440,2.12,0,0,0.06,320,241,379,1060
31.02,1.389,3.336,4.947,64,381,2.12,0,0,0.04,323,200,373,1104
31.15,1.457,3.383,5.059,121,504,2.1,0,0,0.07,314,187,290,1209
30.85,1.41,3.403,5.026,156,459,2.13,0,0,0.06,336,193,261,1210
31.0,1.409,3.408,5.031,77,428,2.14,0,0,0.05,343,189,258,1210
31.24,1.332,3.432,4.98,123,538,2.14,0,0,0.05,343,210,256,1191
30.93,1.362,3.437,5.021,82,521,2.13,0,0,0.05,339,177,286,1198
29.86,1.364,3.441,5.021,99,497,2.11,0,0,0.05,321,188,278,1213
30.76,1.558,3.43,5.209,78,430,2.14,0,0,0.04,344,180,253,1223
30.43,1.656,3.445,5.318,94,641,2.11,0,0,0.1,333,136,248,1283
30.32,1.627,3.464,5.306,120,522,2.09,0,0,0.05,314,129,281,1276
29.98,1.741,3.476,5.43,54,571,2.04,0,0,0.04,279,141,272,1308
29.94,1.769,3.485,5.467,87,536,2.04,0,0,0.05,279,115,250,1356
29.9,1.834,3.468,5.519,143,643,2.07,0,0,0.07,301,128,224,1347
29.66,1.752,3.461,5.431,86,564,2.11,0,0,0.06,334,110,230,1326
29.03,1.704,3.46,5.377,80,529,2.14,0,0,0.04,359,127,231,1283
29.09,1.788,3.484,5.486,74,539,2.12,0,0,0.07,345,120,219,1316
29.63,1.822,3.486,5.524,78,715,2.13,0,0,0.06,347,135,228,1290
29.1,1.822,3.495,5.532,97,789,2.08,0,0,0.08,303,156,255,1286
28.34,1.732,3.487,5.432,65,668,2.1,0,0,0.05,319,162,234,1285
28.45,1.696,3.466,5.376,88,753,2.13,0,0,0.07,349,121,252,1278
28.54,1.799,3.471,5.485,57,610,2.08,0,0,0.04,313,123,267,1297
28.73,1.826,3.465,5.512,76,723,2.07,0,0,0.06,305,127,261,1307
28.32,1.859,3.45,5.528,84,746,2.08,0,0,0.08,311,130,262,1297
28.02,1.879,3.451,5.548,67,814,2.11,0,0,0.07,338,112,240,1310
27.38,1.831,3.458,5.506,74,585,2.1,0,0,0.06,330,117,244,1309
27.49,1.863,3.459,5.536,86,630,2.11,0,0,0.04,335,102,266,1297
27.57,1.839,3.454,5.508,67,716,2.1,0,0,0.05,321,146,238,1295
27.67,1.89,3.472,5.579,67,601,2.09,0,0,0.04,319,131,235,1315
27.05,1.987,3.483,5.693,77,805,2.07,0,0,0.07,307,104,222,1367
26.55,2.044,3.489,5.75,93,582,2.07,0,0,0.05,306,138,185,1371
27.09,2.032,3.496,5.744,106,884,2.08,0,0,0.08,313,107,212,1368
27.03,2.052,3.488,5.753,39,652,2.07,0,0,0.03,306,107,232,1355
27.01,2.111,3.472,5.804,59,654,2.04,0,0,0.04,287,87,243,1383
27.07,2.104,3.49,5.813,79,749,2.04,0,0,0.06,287,74,245,1394
26.99,1.991,3.489,5.698,90,671,2.1,0,0,0.06,337,87,221,1355
26.85,1.921,3.499,5.637,100,843,2.07,0,0,0.07,305,114,231,1350
26.65,1.894,3.484,5.596,89,731,2.13,0,0,0.05,359,87,200,1354
26.77,1.942,3.477,5.64,97,788,2.17,0,0,0.06,390,69,179,1362
26.94,1.952,3.473,5.648,76,826,2.15,0,0,0.06,366,102,184,1348
27.02,2.027,3.478,5.72,125,770,2.11,0,0,0.07,337,126,205,1332
26.95,1.96,3.485,5.658,54,582,2.12,0,0,0.03,344,123,201,1332
27.12,1.959,3.51,5.678,103,855,2.08,0,0,0.07,307,136,205,1352
26.94,1.989,3.508,5.709,50,729,2.04,0,0,0.04,285,123,205,1387
26.94,1.979,3.51,5.703,67,765,2.07,0,0,0.05,307,99,235,1359
26.9,1.984,3.514,5.712,56,740,2.07,0,0,0.04,311,96,252,1341
26.45,1.928,3.509,5.649,67,656,2.09,0,0,0.03,321,117,238,1324
26.43,1.957,3.506,5.674,98,866,2.07,0,0,0.08,297,141,241,1321
26.34,1.946,3.488,5.642,73,654,2.11,0,0,0.03,328,136,237,1299
26.15,1.901,3.504,5.609,78,698,2.12,0,0,0.05,336,138,231,1295
26.15,2.058,3.504,5.772,67,869,2.05,0,0,0.07,289,126,211,1374
26.18,2.124,3.514,5.849,87,867,2.07,0,0,0.06,306,117,203,1374
26.03,2.002,3.509,5.724,85,739,2.09,0,0,0.06,326,106,200,1368
26.34,1.971,3.509,5.701,70,746,2.1,0,0,0.04,331,119,217,1333
25.75,1.935,3.505,5.663,52,842,2.14,0,0,0.05,355,127,222,1296
25.59,2.026,3.512,5.756,48,788,2.11,0,0,0.07,337,105,219,1339
25.62,2.02,3.52,5.756,66,729,2.08,0,0,0.04,315,115,240,1330
25.78,1.976,3.52,5.712,70,1008,2.04,0,0,0.08,276,152,246,1326
25.75,1.994,3.519,5.728,45,806,1.97,0,0,0.04,225,154,261,1360
25.65,2.09,3.525,5.828,86,895,1.98,0,0,0.06,231,162,252,1355
25.44,2.174,3.52,5.915,46,957,1.98,0,0,0.06,231,176,192,1401
25.84,2.189,3.541,5.95,81,797,1.97,0,0,0.05,222,174,173,1431
25.82,2.072,3.529,5.816,85,845,2.05,0,0,0.06,285,146,160,1409
25.79,2.11,3.527,5.858,67,926,2.04,0,0,0.07,289,113,124,1474
25.71,2.109,3.525,5.848,88,804,2.07,0,0,0.05,309,95,160,1436
25.58,1.985,3.53,5.726,60,843,2.09,0,0,0.04,324,106,177,1393
25.5,1.957,3.544,5.713,93,862,2.07,0,0,0.06,306,120,158,1416
25.14,1.962,3.539,5.714,77,733,2.06,0,0,0.04,296,140,176,1388
25.36,1.993,3.54,5.749,68,791,2.07,0,0,0.05,307,133,154,1406
25.43,2.015,3.555,5.791,57,814,2.09,0,0,0.06,322,119,150,1409
25.52,1.971,3.547,5.738,52,844,2.1,0,0,0.07,331,111,169,1389
25.48,1.982,3.567,5.769,92,957,2.01,0,0,0.07,264,113,169,1454
25.49,1.906,3.58,5.697,91,807,1.98,0,0,0.07,239,132,192,1437
25.58,1.948,3.569,5.732,71,802,2.01,0,0,0.05,263,116,162,1459
25.62,1.982,3.558,5.754,64,752,2.01,0,0,0.04,265,114,168,1453
25.43,1.906,3.541,5.659,116,913,2.04,0,0,0.09,283,120,174,1423
25.59,1.933,3.542,5.689,78,751,2.03,0,0,0.04,277,129,178,1416
26.07,1.92,3.531,5.669,105,906,2.01,0,0,0.08,259,125,199,1417
25.48,1.876,3.523,5.613,63,764,2.05,0,0,0.05,291,108,218,1383
25.44,1.907,3.523,5.642,56,763,2.07,0,0,0.06,301,126,205,1368
25.62,1.934,3.53,5.675,82,818,2.06,0,0,0.07,300,123,199,1378
25.4,2.008,3.563,5.778,117,794,2.04,0,0,0.06,285,108,192,1415
25.21,1.994,3.568,5.772,79,921,2.01,0,0,0.07,261,121,166,1452
25.9,1.994,3.56,5.759,70,783,2.05,0,0,0.04,292,133,175,1400
25.43,2.039,3.572,5.819,93,953,2.04,0,0,0.07,282,119,197,1402
25.22,2.071,3.577,5.859,60,733,2.06,0,0,0.04,305,101,197,1397
25.09,2.126,3.556,5.895,72,929,2.04,0,0,0.06,287,92,206,1415
24.94,2.076,3.544,5.843,71,964,2.03,0,0,0.07,281,93,227,1399
24.98,1.993,3.537,5.751,70,896,2.06,0,0,0.06,306,80,214,1400
24.55,2.009,3.532,5.761,107,957,2.09,0,0,0.08,331,82,201,1386
24.85,1.928,3.534,5.678,70,815,2.12,0,0,0.04,348,102,191,1359
25.1,1.935,3.541,5.697,71,879,2.09,0,0,0.05,323,99,192,1386
24.65,1.887,3.564,5.673,96,913,2.02,0,0,0.07,270,88,237,1405
24.49,1.926,3.56,5.707,64,864,2.01,0,0,0.05,260,109,227,1404
24.53,2.051,3.566,5.841,62,782,1.98,0,0,0.05,244,92,224,1440
24.56,2.029,3.558,5.811,77,997,2.02,0,0,0.15,269,99,216,1416
24.19,2.046,3.546,5.814,59,907,2.03,0,0,0.06,283,93,199,1425
24.44,1.966,3.539,5.712,138,1009,2.14,0,0,0.09,359,108,155,1378
