gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
32.46,0.903,3.105,4.223,455,0,2.1,0.02,20,1.12,250,509,620,621
30.71,0.881,3.085,4.179,376,0,2.1,0.03,40,0.69,239,542,638,581
30.94,0.891,3.088,4.187,304,0,2.07,0.08,92,0.62,220,536,650,594
30.31,0.885,3.101,4.192,279,0,2.11,0.08,101,0.7,260,460,681,599
30.25,0.874,3.075,4.159,221,12,2.14,0.09,106,0.49,289,450,684,577
29.34,0.849,3.07,4.129,305,0,2.12,0.1,118,0.68,252,535,684,529
29.42,0.868,3.031,4.106,268,0,2.14,0.08,98,0.69,265,555,673,507
29.35,0.868,3.023,4.096,287,0,2.12,0.08,98,0.55,249,573,689,489
29.63,0.859,3.037,4.101,269,0,2.13,0.09,108,0.51,252,578,662,508
29.42,0.827,3.052,4.09,310,1,2.15,0.08,97,0.64,273,566,662,499
29.25,0.838,3.032,4.077,297,0,2.14,0.07,82,0.65,252,656,625,467
29.01,0.797,3.063,4.064,240,0,2.15,0.11,128,0.44,264,634,657,445
29.84,0.828,3.02,4.052,375,2,2.18,0.08,96,0.73,283,625,674,418
29.24,0.811,3.029,4.042,203,0,2.19,0.08,96,0.5,286,645,665,404
29.66,0.835,3.04,4.077,260,0,2.14,0.08,94,0.58,246,673,607,474
30.01,0.856,3.046,4.106,257,11,2.11,0.08,91,0.56,228,659,618,495
29.93,0.793,3.108,4.103,368,0,2.18,0.13,154,0.91,304,538,639,519
29.87,0.78,3.088,4.069,225,0,2.21,0.13,155,0.57,327,521,693,459
29.79,0.8,3.025,4.026,229,0,2.2,0.1,115,0.47,302,618,686,394
29.02,0.776,3.056,4.033,288,0,2.23,0.1,118,0.49,336,555,674,435
29.84,0.757,3.083,4.039,382,0,2.23,0.14,163,0.92,333,563,686,418
30.01,0.757,3.058,4.015,366,0,2.25,0.13,160,0.75,349,560,716,375
29.44,0.739,3.039,3.979,306,0,2.28,0.11,131,0.61,367,582,724,327
29.49,0.759,3.031,3.995,392,0,2.26,0.08,97,0.85,351,595,697,357
29.61,0.738,3.03,3.973,196,0,2.28,0.08,100,0.44,364,609,684,343
30.35,0.745,3.049,4.003,317,1,2.27,0.09,108,0.73,362,559,656,423
30.06,0.757,3.084,4.044,401,0,2.27,0.12,144,0.83,379,500,658,463
29.92,0.791,3.046,4.039,314,0,2.24,0.12,149,0.82,352,517,677,454
28.66,0.805,3.047,4.052,220,0,2.21,0.11,135,0.57,314,581,654,451
29.01,0.781,3.046,4.029,197,0,2.21,0.11,130,0.33,309,604,694,393
29.48,0.782,3.049,4.035,279,0,2.19,0.1,122,0.65,296,606,689,409
29.56,0.767,3.051,4.026,242,0,2.19,0.1,120,0.49,297,586,750,367
29.82,0.745,3.064,4.018,344,0,2.2,0.1,119,0.76,313,539,781,367
29.6,0.783,3.054,4.043,231,0,2.18,0.09,110,0.4,299,535,755,411
30.46,0.787,3.041,4.032,310,0,2.22,0.1,117,0.74,332,534,723,411
29.71,0.782,3.051,4.031,293,0,2.22,0.12,147,0.49,325,550,747,378
29.66,0.795,3.062,4.062,179,0,2.2,0.11,136,0.31,324,500,744,432
29.29,0.815,3.049,4.065,260,0,2.18,0.13,158,0.87,296,539,745,420
29.35,0.823,3.038,4.062,283,0,2.16,0.12,149,0.5,282,566,726,426
29.74,0.81,3.039,4.051,296,0,2.13,0.11,137,0.62,250,602,756,392
30.24,0.794,3.041,4.039,330,0,2.17,0.11,131,0.69,284,564,777,375
30.42,0.819,3.041,4.064,255,0,2.13,0.11,136,0.58,255,579,736,430
30.05,0.806,3.044,4.055,325,0,2.17,0.12,143,0.72,282,575,723,420
30.56,0.809,3.05,4.055,258,0,2.18,0.13,158,0.65,300,555,708,437
29.54,0.806,3.038,4.037,168,0,2.22,0.13,156,0.45,326,577,658,439
30.01,0.79,3.053,4.035,396,0,2.22,0.13,152,0.89,328,565,685,422
29.45,0.764,3.056,4.016,219,0,2.24,0.13,151,0.5,336,583,685,396
29.33,0.763,3.057,4.016,207,0,2.24,0.13,157,0.48,337,570,727,366
29.82,0.767,3.057,4.022,292,0,2.23,0.11,136,0.49,337,535,730,398
29.91,0.777,3.042,4.019,197,0,2.22,0.1,114,0.44,319,584,692,405
29.44,0.77,3.031,3.996,288,0,2.24,0.1,116,0.65,331,628,663,378
29.2,0.763,3.019,3.977,183,0,2.26,0.1,118,0.34,350,602,713,335
29.43,0.766,3.013,3.974,244,0,2.25,0.07,84,0.51,341,612,731,316
29.8,0.8,3.027,4.027,426,1,2.18,0.08,93,0.86,284,623,710,383
29.58,0.816,3.027,4.039,359,0,2.17,0.08,97,0.67,274,615,724,387
29.29,0.827,3.032,4.061,193,0,2.13,0.08,96,0.38,253,600,736,411
29.59,0.78,3.038,4.027,220,0,2.2,0.08,96,0.46,305,603,694,398
29.58,0.775,3.045,4.027,299,0,2.24,0.09,110,0.59,338,588,672,402
29.4,0.782,3.072,4.056,256,0,2.23,0.11,137,0.55,339,545,657,459
29.44,0.768,3.074,4.045,246,0,2.23,0.11,137,0.52,336,546,694,424
30.63,0.755,3.062,4.02,341,0,2.26,0.09,113,0.74,357,539,720,384
29.77,0.739,3.098,4.04,246,0,2.24,0.09,112,0.54,351,522,708,419
30.49,0.737,3.108,4.047,347,0,2.25,0.1,123,0.86,357,506,708,429
30.1,0.739,3.08,4.028,326,0,2.28,0.09,103,0.6,379,526,697,398
30.27,0.732,3.086,4.026,240,0,2.3,0.09,105,0.58,400,506,657,437
30.37,0.781,3.068,4.052,321,0,2.25,0.1,121,0.58,360,515,679,446
30.7,0.79,3.083,4.08,313,0,2.26,0.11,137,0.87,373,479,642,506
30.92,0.786,3.097,4.082,275,0,2.25,0.12,143,0.44,362,499,648,491
30.79,0.776,3.101,4.068,216,0,2.24,0.14,165,0.52,345,526,655,474
30.71,0.775,3.104,4.075,364,0,2.23,0.12,140,0.59,352,477,690,481
30.16,0.737,3.103,4.038,193,0,2.3,0.11,136,0.52,402,469,696,433
30.64,0.738,3.103,4.043,220,0,2.34,0.1,118,0.57,445,419,676,460
30.44,0.743,3.124,4.072,280,0,2.3,0.11,131,0.66,412,418,679,491
30.32,0.758,3.108,4.069,266,0,2.29,0.11,137,0.6,405,432,677,486
30.24,0.8,3.091,4.097,268,0,2.21,0.11,131,0.7,333,482,678,507
29.43,0.799,3.065,4.062,328,0,2.2,0.11,129,0.77,317,538,706,439
29.21,0.836,3.025,4.066,256,0,2.2,0.08,92,0.6,314,536,689,461
29.32,0.808,3.073,4.08,187,0,2.18,0.11,135,0.44,304,537,674,485
29.93,0.83,3.029,4.064,282,0,2.18,0.08,94,0.9,303,541,694,462
29.22,0.848,3.024,4.078,262,0,2.16,0.08,93,0.63,281,547,702,470
29.82,0.827,3.045,4.075,317,0,2.16,0.11,133,0.83,278,556,693,473
29.07,0.81,3.038,4.049,178,0,2.18,0.12,141,0.36,294,568,708,430
29.21,0.817,3.037,4.052,214,0,2.21,0.12,150,0.38,323,546,688,443
29.51,0.797,3.048,4.04,273,0,2.25,0.12,147,0.66,360,518,695,427
29.48,0.819,3.044,4.056,334,2,2.25,0.12,139,0.67,351,542,665,442
29.34,0.778,3.058,4.032,273,0,2.25,0.11,128,0.86,348,592,606,454
29.91,0.763,3.048,4.004,280,0,2.29,0.09,108,0.49,378,573,639,410
29.59,0.798,3.043,4.039,256,0,2.24,0.08,99,0.63,343,547,677,433
29.63,0.776,3.071,4.045,255,0,2.23,0.11,127,0.64,341,541,675,443
30.43,0.773,3.077,4.046,246,0,2.22,0.13,153,0.64,327,546,715,412
29.56,0.773,3.045,4.024,330,0,2.21,0.12,149,0.94,307,597,739,357
29.94,0.79,3.025,4.022,237,0,2.19,0.11,128,0.65,294,613,738,355
29.52,0.783,3.053,4.039,369,0,2.23,0.12,142,0.89,334,537,779,350
29.73,0.767,3.045,4.013,201,0,2.25,0.12,146,0.54,348,556,757,339
29.78,0.754,3.055,4.011,325,0,2.26,0.14,162,0.76,364,531,745,360
29.48,0.741,3.073,4.018,256,0,2.25,0.13,155,0.55,351,552,733,364
29.54,0.744,3.095,4.038,270,0,2.24,0.14,173,0.56,341,538,716,405
29.69,0.739,3.106,4.047,229,0,2.23,0.15,176,0.42,348,490,751,411
30.41,0.756,3.092,4.052,378,1,2.23,0.14,166,0.88,349,482,762,407
29.88,0.762,3.08,4.04,277,0,2.28,0.15,180,0.82,380,495,698,427
29.96,0.786,3.041,4.013,336,0,2.3,0.15,174,0.85,390,523,734,353
