gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
32.25,0.935,3.213,4.366,287,533,2.07,0,0,1.1,240,457,480,823
30.93,0.959,3.261,4.439,225,459,2.05,0,0,0.84,228,435,408,929
31.99,0.96,3.3,4.479,268,345,2.08,0,0,0.67,261,373,433,933
31.42,0.949,3.343,4.511,201,315,2.08,0,0,0.56,256,383,423,938
31.5,0.976,3.339,4.537,134,340,2.09,0,0,0.5,276,331,390,1003
31.13,0.963,3.354,4.537,216,426,2.06,0,0,0.72,238,406,373,983
31.3,0.937,3.315,4.466,237,312,2.08,0,0,0.61,250,419,411,920
31.4,0.926,3.356,4.497,196,322,2.09,0,0,0.49,270,377,394,959
32.34,0.932,3.39,4.537,208,410,2.06,0,0,0.72,247,372,403,978
32.26,0.924,3.396,4.543,201,343,2.05,0,0,0.67,243,362,430,965
31.29,0.936,3.365,4.517,191,355,2.06,0,0,0.6,246,385,426,943
31.75,0.934,3.403,4.557,272,252,2.07,0,0,0.52,259,365,387,989
32.46,0.95,3.382,4.548,308,353,2.11,0,0,0.91,297,324,378,1001
32.14,0.959,3.394,4.565,192,380,2.11,0,0,0.57,302,291,374,1033
31.79,0.966,3.41,4.588,157,308,2.08,0,0,0.45,274,289,384,1053
32.42,0.942,3.43,4.585,219,312,2.08,0,0,0.66,281,271,407,1041
32.17,0.921,3.446,4.587,344,331,2.12,0,0,0.71,321,213,409,1057
31.74,0.911,3.408,4.538,182,360,2.17,0,0,0.6,357,218,416,1009
31.24,0.896,3.356,4.466,159,342,2.19,0,0,0.56,364,286,410,940
31.08,0.915,3.372,4.502,245,323,2.16,0,0,0.58,340,288,412,960
32.29,0.87,3.412,4.498,227,418,2.18,0,0,0.73,352,315,365,968
32.0,0.881,3.395,4.491,228,508,2.22,0,0,0.79,378,316,341,965
30.84,0.873,3.372,4.456,227,369,2.18,0,0,0.74,344,310,447,899
31.42,0.877,3.395,4.486,329,429,2.16,0,0,1.05,333,324,406,937
31.47,0.898,3.413,4.527,142,302,2.12,0,0,0.37,310,285,414,991
32.25,0.913,3.432,4.566,249,400,2.11,0,0,0.71,296,311,368,1025
32.26,0.948,3.426,4.594,330,363,2.12,0,0,0.75,302,304,357,1037
31.63,0.926,3.401,4.546,237,421,2.09,0,0,0.86,278,346,387,989
30.99,0.919,3.386,4.52,174,366,2.07,0,0,0.64,249,418,398,935
32.14,0.881,3.387,4.483,158,249,2.1,0,0,0.41,263,433,394,910
32.63,0.894,3.393,4.503,181,334,2.06,0,0,0.57,239,416,378,967
32.38,0.873,3.411,4.503,183,254,2.07,0,0,0.65,256,371,382,991
31.37,0.891,3.443,4.555,269,343,2.07,0,0,0.81,266,332,334,1068
31.05,0.864,3.479,4.559,248,227,2.07,0,0,0.47,266,336,338,1060
32.12,0.868,3.428,4.512,310,383,2.13,0,0,0.87,295,407,294,1004
31.79,0.879,3.44,4.532,212,296,2.11,0,0,0.51,288,376,323,1013
32.02,0.899,3.448,4.567,156,239,2.08,0,0,0.5,270,348,325,1057
31.52,0.889,3.429,4.539,257,373,2.1,0,0,0.64,282,337,330,1051
31.6,0.871,3.411,4.5,181,308,2.12,0,0,0.5,295,360,351,994
31.98,0.866,3.429,4.512,298,387,2.08,0,0,0.77,266,368,379,987
31.86,0.896,3.426,4.543,171,380,2.06,0,0,0.65,258,321,383,1038
32.45,0.915,3.414,4.549,200,343,2.07,0,0,0.6,262,340,356,1042
32.1,0.929,3.416,4.569,227,380,2.08,0,0,0.68,271,315,362,1052
31.95,0.911,3.443,4.569,217,383,2.12,0,0,0.76,294,356,316,1034
31.4,0.905,3.443,4.561,96,301,2.12,0,0,0.46,293,361,328,1018
31.22,0.878,3.468,4.556,325,438,2.13,0,0,0.93,309,339,314,1038
31.67,0.862,3.493,4.567,198,352,2.12,0,0,0.55,299,328,310,1063
31.27,0.849,3.477,4.54,180,345,2.13,0,0,0.47,315,309,341,1035
31.31,0.838,3.511,4.562,231,371,2.11,0,0,0.59,303,285,378,1034
31.86,0.845,3.498,4.554,183,252,2.09,0,0,0.36,277,344,380,999
31.93,0.827,3.489,4.524,308,314,2.1,0,0,0.74,278,361,391,970
31.56,0.823,3.452,4.483,182,228,2.13,0,0,0.36,297,394,365,944
31.03,0.807,3.457,4.47,191,344,2.13,0,0,0.54,296,400,379,925
31.84,0.861,3.508,4.58,330,376,2.06,0,0,0.74,243,399,339,1019
31.63,0.884,3.493,4.587,232,375,2.05,0,0,0.64,241,378,391,990
31.3,0.895,3.48,4.587,184,367,2.06,0,0,0.64,249,364,368,1019
31.14,0.877,3.439,4.537,213,305,2.08,0,0,0.43,266,364,394,976
31.8,0.867,3.446,4.536,225,342,2.1,0,0,0.64,277,373,339,1011
32.15,0.88,3.457,4.554,217,291,2.09,0,0,0.5,273,374,345,1008
31.39,0.883,3.453,4.552,133,373,2.1,0,0,0.52,285,331,389,995
32.13,0.817,3.506,4.539,324,404,2.09,0,0,0.77,279,316,429,976
31.84,0.828,3.462,4.505,246,259,2.11,0,0,0.53,286,336,471,907
31.91,0.831,3.469,4.513,303,360,2.11,0,0,0.68,297,317,450,936
30.98,0.848,3.465,4.533,280,414,2.1,0,0,0.84,284,317,443,956
31.8,0.829,3.433,4.48,256,368,2.13,0,0,0.78,313,314,431,942
31.88,0.839,3.441,4.496,247,365,2.15,0,0,0.64,327,290,415,968
32.34,0.884,3.443,4.548,209,361,2.1,0,0,0.67,300,266,399,1035
32.15,0.851,3.48,4.545,246,274,2.13,0,0,0.54,312,306,354,1028
32.58,0.845,3.454,4.509,161,306,2.16,0,0,0.63,332,304,398,966
32.01,0.854,3.467,4.534,291,345,2.13,0,0,0.81,313,300,402,985
31.35,0.837,3.447,4.496,190,275,2.16,0,0,0.6,329,315,434,922
31.65,0.844,3.438,4.499,192,296,2.18,0,0,0.51,354,296,401,949
31.82,0.889,3.427,4.536,145,358,2.14,0,0,0.61,322,282,422,974
31.26,0.899,3.435,4.554,166,405,2.12,0,0,0.66,307,270,422,1001
31.03,0.915,3.44,4.575,189,438,2.1,0,0,0.72,292,287,375,1046
30.66,0.887,3.453,4.552,321,445,2.15,0,0,0.78,328,300,376,996
30.46,0.881,3.461,4.557,179,370,2.16,0,0,0.66,346,233,383,1038
30.67,0.9,3.473,4.585,209,347,2.09,0,0,0.54,293,245,375,1087
31.13,0.893,3.445,4.551,236,446,2.08,0,0,0.67,280,282,389,1049
31.2,0.894,3.44,4.548,202,358,2.07,0,0,0.47,268,296,375,1061
31.17,0.914,3.45,4.582,225,486,2.07,0,0,0.82,269,315,312,1104
30.88,0.904,3.446,4.564,149,311,2.11,0,0,0.4,301,315,299,1085
30.67,0.904,3.466,4.582,204,332,2.14,0,0,0.52,331,277,271,1121
30.92,0.918,3.463,4.592,219,408,2.12,0,0,0.51,315,248,344,1093
30.98,0.914,3.454,4.574,258,372,2.11,0,0,0.72,304,273,363,1060
31.3,0.914,3.47,4.594,206,469,2.08,0,0,0.96,279,300,357,1064
31.62,0.865,3.469,4.537,248,433,2.11,0,0,0.73,300,297,363,1040
31.9,0.871,3.481,4.561,210,402,2.13,0,0,0.75,308,315,340,1037
