gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
47.65,1.318,3.844,5.326,468,2654,1.88,0.26,470,3.52,242,150,479,2129
45.85,1.334,3.853,5.352,108,1125,1.86,0.26,470,0.88,223,152,444,2181
44.42,1.346,3.847,5.355,76,953,1.87,0.26,470,0.48,227,200,415,2158
44.7,1.291,3.836,5.292,115,1321,1.89,0.26,470,0.96,229,297,412,2062
44.18,1.283,3.833,5.282,66,929,1.92,0.26,470,0.48,271,280,383,2066
44.27,1.344,3.84,5.363,53,1244,1.89,0.26,470,0.6,232,271,393,2104
43.47,1.35,3.847,5.371,37,968,1.87,0.26,470,0.5,204,326,355,2115
43.12,1.402,3.854,5.43,55,1055,1.82,0.26,470,0.44,147,312,418,2123
42.77,1.333,3.854,5.353,48,1118,1.83,0.26,470,0.52,160,316,407,2117
42.7,1.34,3.859,5.365,53,1236,1.84,0.26,470,0.6,188,243,402,2167
43.09,1.356,3.852,5.373,50,1292,1.86,0.26,470,0.68,204,277,361,2158
42.33,1.287,3.851,5.3,21,1065,1.86,0.26,470,0.41,195,316,399,2090
41.58,1.315,3.846,5.329,82,1232,1.86,0.26,470,0.76,201,290,441,2068
41.95,1.363,3.848,5.376,47,1454,1.87,0.26,470,0.85,211,273,420,2096
42.07,1.351,3.851,5.369,44,1383,1.86,0.26,470,0.64,198,305,391,2106
43.34,1.302,3.848,5.321,54,1184,1.9,0.26,470,0.59,262,191,447,2100
42.75,1.291,3.862,5.321,66,1135,1.89,0.26,470,0.54,242,204,439,2115
42.46,1.279,3.856,5.299,65,1364,1.86,0.26,470,0.73,212,227,511,2050
42.4,1.218,3.849,5.222,63,1523,1.86,0.26,470,0.81,200,263,514,2023
41.54,1.279,3.842,5.281,65,1599,1.88,0.26,470,0.84,230,232,464,2074
41.61,1.279,3.842,5.283,31,1041,1.86,0.26,470,0.49,206,259,448,2087
41.63,1.262,3.852,5.27,111,1328,1.88,0.26,470,0.82,230,221,379,2170
41.43,1.316,3.85,5.327,68,1168,1.84,0.26,470,0.51,183,217,408,2192
41.49,1.286,3.856,5.299,56,1256,1.84,0.26,470,0.55,176,260,392,2172
41.22,1.317,3.862,5.337,71,1362,1.81,0.26,470,0.64,165,188,409,2238
41.0,1.31,3.856,5.326,58,1345,1.8,0.26,470,0.68,148,215,392,2245
39.99,1.322,3.858,5.337,45,1169,1.81,0.26,470,0.55,157,225,390,2228
40.62,1.292,3.863,5.315,74,1329,1.82,0.26,470,0.57,169,205,422,2204
39.7,1.272,3.87,5.299,46,1482,1.82,0.26,470,0.69,173,202,432,2193
39.52,1.279,3.877,5.315,71,1372,1.82,0.26,470,0.68,166,186,406,2242
40.06,1.335,3.875,5.372,73,1576,1.8,0.26,470,0.68,150,184,421,2245
40.04,1.312,3.876,5.348,55,1774,1.82,0.26,470,0.79,172,175,421,2232
40.2,1.312,3.874,5.346,31,1206,1.83,0.26,470,0.4,176,192,448,2184
40.16,1.299,3.873,5.331,41,1449,1.84,0.26,470,0.53,179,253,422,2146
40.04,1.314,3.878,5.351,22,1420,1.85,0.26,470,0.49,195,223,383,2199
39.61,1.328,3.881,5.368,45,1473,1.83,0.26,470,0.59,188,192,373,2247
39.15,1.306,3.878,5.343,28,1632,1.85,0.26,470,0.58,205,185,359,2251
40.01,1.29,3.878,5.324,63,1329,1.86,0.26,470,0.65,212,204,358,2226
39.44,1.275,3.879,5.311,54,1285,1.86,0.26,470,0.58,211,208,351,2230
39.69,1.349,3.876,5.386,54,1701,1.82,0.26,470,0.83,162,272,303,2263
38.75,1.334,3.88,5.378,30,1455,1.84,0.26,470,0.59,173,305,308,2214
39.64,1.323,3.877,5.365,49,1483,1.86,0.26,470,0.77,196,283,296,2225
38.88,1.337,3.876,5.375,34,1348,1.87,0.26,470,0.48,217,276,313,2194
38.8,1.29,3.884,5.337,68,1285,1.86,0.26,470,0.52,199,269,317,2215
38.99,1.312,3.887,5.36,53,1648,1.84,0.26,470,0.87,194,193,340,2273
38.85,1.34,3.894,5.398,73,1462,1.82,0.26,470,0.56,180,165,294,2361
38.27,1.352,3.898,5.412,54,1577,1.82,0.26,470,0.68,180,154,292,2374
38.21,1.37,3.894,5.424,77,1545,1.8,0.26,470,0.67,157,147,360,2336
37.83,1.29,3.896,5.344,35,1402,1.83,0.26,470,0.61,182,186,330,2302
38.44,1.26,3.89,5.311,29,1193,1.84,0.26,470,0.36,200,164,365,2271
38.35,1.281,3.89,5.334,52,1500,1.83,0.26,470,0.57,183,190,369,2258
38.63,1.368,3.889,5.419,34,1635,1.79,0.26,470,0.57,135,212,355,2298
38.66,1.401,3.906,5.464,114,1624,1.78,0.26,470,0.72,125,190,368,2317
