gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,8k,4k,1440p,1080p
224.6,0.798,3.389,4.36,897,0,2.01,1.67,241,125,284,405,486
225.3,0.681,3.421,4.276,427,0,2.12,1.66,242,186,230,457,427
222.8,0.709,3.42,4.302,109,0,2.09,1.66,242,183,164,506,447
223.5,0.599,3.449,4.203,372,0,2.01,1.67,301,130,248,516,406
218.6,0.572,3.401,4.125,92,0,2.07,1.67,253,144,330,506,320
215.8,0.569,3.402,4.123,7,0,2.07,1.67,253,145,333,502,320
220.4,0.524,3.522,4.196,223,0,2.02,1.68,322,116,351,453,380
218.2,0.5,3.508,4.147,124,0,2.12,1.68,315,158,379,438,325
216.2,0.509,3.507,4.158,112,0,2.09,1.68,332,144,403,387,366
217.0,0.474,3.527,4.145,117,0,2.27,1.68,372,257,257,454,332
226.8,0.554,3.483,4.206,303,0,2.14,1.69,322,202,207,499,392
226.9,0.54,3.44,4.134,151,0,2.17,1.69,327,216,200,567,317
224.2,0.569,3.449,4.173,233,0,2.17,1.68,395,218,191,540,351
224.4,0.547,3.441,4.141,131,76,2.13,1.68,408,189,244,593,274
220.1,0.484,3.48,4.1,189,0,2.25,1.66,426,248,239,451,362
215.2,0.496,3.464,4.097,140,0,2.24,1.65,373,251,189,500,360
220.3,0.547,3.531,4.217,143,0,2.04,1.65,376,158,171,517,454
227.9,0.603,3.432,4.182,301,0,2.23,1.67,392,262,109,519,410
226.4,0.597,3.462,4.198,135,0,2.24,1.67,392,266,105,512,417
225.9,0.483,3.429,4.056,188,0,2.24,1.67,405,255,172,580,293
225.4,0.481,3.43,4.054,9,0,2.24,1.67,405,255,173,582,290
226.1,0.549,3.424,4.121,240,0,2.15,1.68,338,209,174,610,307
222.1,0.55,3.451,4.171,176,0,2.02,1.68,338,121,303,523,353
227.9,0.515,3.429,4.122,114,0,1.99,1.67,286,95,386,487,332
224.0,0.547,3.372,4.095,104,0,2.08,1.67,286,143,366,474,317
220.4,0.635,3.344,4.134,135,0,2.09,1.67,286,160,291,571,278
217.1,0.589,3.462,4.198,171,0,2.05,1.66,347,153,217,569,361
216.5,0.619,3.454,4.229,114,0,2.11,1.66,347,196,139,516,449
222.3,0.626,3.461,4.245,14,0,2.12,1.66,347,201,139,518,442
222.6,0.615,3.479,4.263,78,0,2.02,1.66,347,150,171,524,455
223.6,0.688,3.381,4.247,130,0,1.89,1.67,288,70,236,631,363
222.6,0.686,3.38,4.243,10,0,1.9,1.67,288,74,238,626,362
222.9,0.707,3.354,4.25,114,0,1.86,1.67,288,55,243,626,376
215.5,0.627,3.349,4.151,172,0,2.0,1.67,267,121,253,644,282
210.5,0.633,3.345,4.154,56,0,2.01,1.67,291,122,273,626,279
216.7,0.735,3.425,4.334,347,0,1.84,1.67,317,59,158,623,460
213.5,0.732,3.375,4.307,187,23,1.82,1.68,256,54,139,661,446
212.3,0.708,3.297,4.208,307,0,1.82,1.68,264,15,354,555,376
216.1,0.714,3.36,4.262,263,0,1.91,1.68,264,85,206,540,469
219.6,0.715,3.353,4.27,60,0,1.81,1.68,264,17,338,483,462
219.7,0.708,3.354,4.264,21,0,1.82,1.68,264,18,342,485,455
223.4,0.635,3.381,4.184,306,0,2.06,1.68,264,159,223,520,398
219.0,0.684,3.333,4.172,195,0,2.08,1.68,264,163,243,525,369
214.3,0.65,3.331,4.132,167,0,2.12,1.68,264,180,255,482,383
217.3,0.657,3.313,4.144,119,0,2.11,1.68,264,182,246,414,458
214.6,0.623,3.235,4.026,214,0,2.29,1.68,202,265,265,416,354
