gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
40.63,2.319,3.012,5.535,268,1692,2.1,0,0,2.5,360,393,354,1393
39.45,2.184,3.012,5.398,171,946,2.09,0,0,1.67,335,486,322,1357
38.93,2.137,2.997,5.333,169,846,2.16,0,0,1.22,409,430,367,1294
38.25,2.379,3.016,5.597,110,918,2.04,0,0,1.04,298,436,322,1444
38.19,2.627,3.005,5.836,149,1066,2.04,0,0,1.44,305,394,265,1536
37.07,2.641,3.001,5.85,128,798,2.01,0,0,0.81,283,384,228,1605
37.53,2.671,3.002,5.879,102,868,2.03,0,0,1.1,294,415,246,1545
37.51,2.854,2.994,6.055,79,677,2.05,0,0,0.61,323,361,199,1617
36.89,2.873,2.997,6.07,44,881,2.02,0,0,0.74,294,376,196,1634
36.58,3.065,2.991,6.252,56,940,1.95,0,0,0.67,232,354,140,1774
36.35,3.012,2.991,6.204,50,991,1.97,0,0,0.91,258,318,153,1771
35.68,2.954,3.007,6.16,78,1067,1.98,0,0,1.28,273,287,201,1739
36.39,3.008,3.01,6.22,84,1199,1.97,0,0,1.36,264,282,215,1739
35.61,3.22,3.01,6.434,26,1020,1.92,0,0,0.71,219,260,203,1818
35.96,3.303,3.011,6.516,67,951,1.91,0,0,0.76,223,214,215,1848
36.07,3.345,3.012,6.562,54,1234,1.93,0,0,1.25,230,234,268,1768
34.78,3.339,3.01,6.558,98,988,1.98,0,0,0.99,276,241,247,1736
35.2,3.387,3.025,6.633,133,1068,1.91,0,0,1.07,217,236,241,1806
35.3,3.443,3.023,6.675,73,994,1.94,0,0,0.68,251,215,269,1765
34.49,3.346,3.016,6.573,92,1054,2.02,0,0,0.99,332,185,242,1741
34.8,3.432,3.009,6.652,56,1235,2.0,0,0,1.0,305,203,198,1794
34.21,3.581,3.007,6.797,71,1216,1.92,0,0,0.97,221,238,178,1863
33.87,3.442,3.011,6.665,46,1096,1.89,0,0,0.83,197,244,186,1873
34.32,3.724,3.011,6.951,49,1341,1.85,0,0,1.16,160,238,166,1936
33.95,3.78,3.008,7.006,38,1031,1.89,0,0,0.79,202,222,121,1955
34.2,3.918,3.007,7.133,67,1226,1.89,0,0,0.75,200,211,136,1953
34.37,3.97,3.005,7.186,50,1146,1.89,0,0,0.74,200,205,142,1953
33.2,3.796,3.005,7.007,55,1086,1.87,0,0,0.77,177,231,161,1931
33.15,3.766,3.009,6.978,53,1406,1.83,0,0,1.11,149,195,180,1976
33.2,3.766,3.009,6.984,63,1122,1.85,0,0,0.75,174,177,163,1986
33.25,3.866,3.006,7.081,54,1242,1.82,0,0,0.99,144,186,162,2008
33.35,3.679,3.02,6.909,89,1293,1.83,0,0,0.97,141,217,142,2000
32.67,3.766,3.019,6.993,38,1207,1.85,0,0,0.75,158,251,121,1970
32.68,3.676,3.02,6.897,29,1206,1.88,0,0,0.81,187,249,137,1927
32.69,3.667,3.024,6.895,105,1204,1.89,0,0,0.99,185,295,154,1866
32.29,3.678,3.022,6.904,46,1207,1.91,0,0,0.77,215,265,153,1867
31.96,3.706,3.024,6.925,83,1383,1.87,0,0,1.06,181,224,155,1940
32.72,3.732,3.019,6.951,78,1357,1.88,0,0,1.15,196,213,174,1917
