gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
68.93,1.299,3.599,5.103,572,3403,2.15,0.2,545,0.93,778,522,450,2750
67.53,1.452,3.611,5.275,179,2252,2.07,0.2,545,0.47,666,400,521,2913
66.21,1.548,3.623,5.378,212,2701,2.02,0.2,545,0.42,578,374,445,3103
66.13,1.681,3.631,5.522,140,3058,2.02,0.2,545,0.52,592,338,298,3272
65.01,1.729,3.645,5.585,222,3194,1.97,0.2,545,0.44,511,346,404,3239
64.49,1.809,3.633,5.657,96,2851,1.92,0.2,545,0.4,428,271,489,3312
63.77,1.8,3.638,5.648,106,3072,1.89,0.2,545,0.38,378,339,397,3386
63.29,1.858,3.665,5.732,175,3207,1.86,0.2,545,0.43,315,382,319,3484
64.08,1.829,3.667,5.701,140,2826,1.9,0.2,545,0.34,378,423,222,3477
63.05,2.068,3.671,5.938,100,2745,1.85,0.2,545,0.35,314,299,265,3622
63.39,2.169,3.673,6.041,92,2831,1.83,0.2,545,0.35,277,314,136,3773
62.67,2.149,3.678,6.032,101,2868,1.84,0.2,545,0.38,323,189,214,3774
62.0,2.11,3.668,5.977,118,3017,1.87,0.2,545,0.4,374,186,275,3665
61.9,2.047,3.664,5.911,112,2946,1.83,0.2,545,0.45,309,166,271,3754
61.4,2.066,3.669,5.948,94,2893,1.84,0.2,545,0.32,303,227,259,3711
60.92,2.098,3.666,5.972,128,3036,1.84,0.2,545,0.42,309,247,256,3688
61.24,2.11,3.659,5.976,124,3080,1.85,0.2,545,0.39,325,230,248,3697
60.73,2.123,3.659,5.992,98,3103,1.87,0.2,545,0.34,361,203,179,3757
59.73,2.178,3.659,6.051,60,2925,1.85,0.2,545,0.35,325,187,249,3739
59.56,2.166,3.666,6.04,201,3512,1.85,0.2,545,0.47,322,239,275,3664
58.62,2.17,3.675,6.048,92,3199,1.81,0.2,545,0.38,262,231,296,3711
58.59,2.298,3.673,6.181,111,3732,1.82,0.2,545,0.47,280,208,238,3774
59.4,2.239,3.674,6.124,61,3000,1.82,0.2,545,0.31,276,216,269,3739
58.97,2.273,3.678,6.166,87,3551,1.85,0.2,545,0.49,340,185,200,3775
58.56,2.331,3.676,6.216,38,2678,1.81,0.2,545,0.3,265,151,221,3863
58.55,2.364,3.677,6.249,154,3143,1.86,0.2,545,0.45,358,113,195,3834
58.47,2.321,3.682,6.212,95,3389,1.84,0.2,545,0.36,311,206,249,3734
58.57,2.256,3.683,6.152,85,3384,1.8,0.2,545,0.42,247,214,255,3784
57.89,2.244,3.686,6.136,115,3426,1.85,0.2,545,0.47,310,294,228,3668
58.19,2.167,3.691,6.056,77,3054,1.86,0.2,545,0.38,338,228,243,3691
59.02,2.113,3.684,5.999,109,3193,1.87,0.2,545,0.42,357,205,327,3611
58.13,2.198,3.686,6.086,86,3230,1.84,0.2,545,0.35,324,176,340,3660
57.57,2.25,3.684,6.144,92,2936,1.83,0.2,545,0.38,297,189,327,3687
57.6,2.304,3.679,6.191,51,3506,1.85,0.2,545,0.38,330,146,358,3666
57.1,2.307,3.672,6.188,133,3242,1.87,0.2,545,0.48,370,153,292,3685
57.07,2.22,3.677,6.105,73,3379,1.84,0.2,545,0.44,332,129,279,3760
56.68,2.211,3.678,6.101,61,2850,1.85,0.2,545,0.31,348,126,292,3734
56.81,2.247,3.677,6.13,103,3326,1.79,0.2,545,0.41,220,232,276,3772
