gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
71.24,0.816,3.398,4.413,2436,110,2.29,0.24,666,10.26,932,919,649,2000
70.11,0.823,3.342,4.359,1774,109,2.26,0.28,767,8.51,895,848,713,2044
68.36,0.845,3.29,4.338,1688,66,2.21,0.24,647,9.02,801,874,724,2101
68.25,0.791,3.308,4.303,1599,34,2.26,0.26,709,7.78,885,897,679,2039
67.61,0.818,3.298,4.318,1572,50,2.21,0.25,694,8.74,805,886,798,2011
67.85,0.86,3.299,4.36,1610,38,2.19,0.26,715,8.71,766,936,808,1990
67.85,0.852,3.26,4.316,1618,82,2.22,0.25,682,8.55,802,950,736,2012
66.07,0.822,3.254,4.272,1495,18,2.25,0.25,675,8.45,846,1007,757,1890
65.13,0.83,3.213,4.238,1220,17,2.28,0.23,617,7.69,903,1016,726,1855
64.87,0.829,3.249,4.271,1428,0,2.28,0.24,666,7.14,923,919,799,1859
67.15,0.836,3.264,4.297,1451,35,2.25,0.23,616,7.35,878,844,819,1959
66.68,0.826,3.253,4.276,1313,83,2.27,0.24,647,7.97,906,842,777,1975
67.05,0.808,3.269,4.269,1447,69,2.29,0.25,694,6.88,951,836,782,1931
67.02,0.809,3.314,4.31,1530,17,2.24,0.28,780,6.02,864,862,759,2015
67.51,0.796,3.33,4.321,1445,44,2.29,0.3,826,6.63,940,837,778,1945
67.23,0.797,3.291,4.283,1717,28,2.29,0.27,743,8.15,940,837,807,1916
67.44,0.822,3.283,4.3,1460,57,2.26,0.28,758,6.57,907,757,897,1939
66.62,0.799,3.28,4.277,1204,48,2.29,0.27,727,5.46,941,817,906,1836
66.27,0.804,3.283,4.284,1419,52,2.28,0.28,754,6.24,936,777,837,1950
67.56,0.845,3.31,4.349,2044,19,2.15,0.27,726,7.81,689,944,957,1910
67.04,0.777,3.286,4.253,1679,11,2.24,0.27,742,7.28,855,897,981,1767
66.13,0.793,3.258,4.249,1698,21,2.29,0.26,721,9.46,938,911,863,1788
66.55,0.856,3.237,4.294,1689,28,2.25,0.25,679,9.38,868,918,760,1954
67.79,0.822,3.325,4.344,1889,39,2.22,0.28,765,9.66,820,874,828,1978
67.17,0.793,3.298,4.285,1454,63,2.26,0.26,707,8.07,882,904,838,1876
66.16,0.787,3.272,4.26,1285,34,2.29,0.24,647,5.81,953,822,846,1879
67.11,0.827,3.31,4.332,1609,26,2.23,0.27,739,6.99,847,833,739,2081
66.86,0.815,3.277,4.294,1628,139,2.24,0.28,760,7.94,847,951,729,1973
66.48,0.814,3.294,4.3,1747,68,2.22,0.27,743,7.43,823,921,746,2010
66.93,0.833,3.274,4.298,1391,59,2.22,0.24,648,8.11,810,931,840,1919
67.05,0.827,3.265,4.286,1487,26,2.27,0.24,664,6.57,912,810,941,1837
66.11,0.82,3.224,4.242,1591,64,2.32,0.23,615,8.2,991,886,904,1719
65.98,0.803,3.263,4.262,1667,5,2.26,0.25,691,7.1,876,988,842,1794
66.19,0.826,3.287,4.305,1305,48,2.23,0.29,782,7.03,815,999,901,1785
66.27,0.794,3.286,4.271,1347,17,2.22,0.29,797,6.63,807,954,999,1740
66.14,0.775,3.279,4.246,1532,24,2.27,0.3,823,6.99,907,876,897,1820
66.14,0.803,3.261,4.263,1256,60,2.21,0.27,746,6.35,800,919,947,1834
67.01,0.8,3.264,4.258,1623,13,2.21,0.27,729,8.45,793,919,966,1822
66.74,0.818,3.293,4.306,1272,10,2.25,0.28,761,7.04,879,813,861,1947
68.07,0.875,3.265,4.336,1630,10,2.23,0.26,704,9.46,853,844,776,2027
67.45,0.803,3.308,4.31,1629,10,2.26,0.29,784,6.59,893,818,873,1916
68.01,0.786,3.274,4.255,1168,0,2.32,0.28,762,6.55,1010,777,891,1822
66.68,0.816,3.281,4.29,1384,25,2.3,0.27,735,7.52,971,803,794,1932
66.13,0.826,3.258,4.287,1579,9,2.26,0.25,674,7.26,892,876,819,1913
67.55,0.797,3.276,4.27,1653,9,2.27,0.27,735,8.95,925,820,738,2017
68.41,0.817,3.278,4.287,1644,13,2.26,0.29,797,7.64,903,775,846,1976
68.35,0.815,3.296,4.316,1535,55,2.27,0.28,765,7.43,931,735,781,2053
68.29,0.831,3.303,4.34,1733,18,2.2,0.29,784,9.75,791,882,744,2083
68.06,0.817,3.278,4.291,1514,54,2.24,0.27,734,7.43,873,778,870,1979
68.4,0.821,3.286,4.302,1400,19,2.26,0.26,723,7.43,890,844,763,2003
67.67,0.815,3.276,4.281,1598,22,2.26,0.27,731,8.76,880,891,891,1838
65.94,0.84,3.237,4.268,1199,22,2.27,0.25,675,5.85,905,891,868,1836
65.7,0.823,3.24,4.252,1600,9,2.26,0.26,717,8.89,885,941,816,1858
66.33,0.79,3.245,4.229,1468,19,2.27,0.27,738,9.08,888,919,911,1782
66.09,0.794,3.25,4.241,1438,5,2.26,0.26,701,6.9,873,915,903,1809
65.96,0.835,3.235,4.268,1432,13,2.25,0.24,664,8.45,872,832,838,1958
65.18,0.829,3.227,4.257,1295,17,2.2,0.25,690,6.11,773,942,964,1821
64.81,0.854,3.22,4.274,1514,17,2.2,0.23,634,6.73,763,998,883,1856
66.14,0.798,3.282,4.275,1585,17,2.23,0.27,745,7.87,824,967,841,1868
67.15,0.795,3.289,4.282,1273,25,2.21,0.26,721,6.06,780,997,896,1827
66.97,0.788,3.261,4.248,1413,27,2.28,0.25,682,7.55,910,996,780,1814
66.67,0.81,3.252,4.262,1684,21,2.27,0.25,689,8.45,903,887,842,1868
66.33,0.823,3.229,4.251,1523,30,2.28,0.25,686,7.32,926,840,881,1853
65.93,0.814,3.266,4.285,1458,10,2.24,0.26,721,8.13,844,934,954,1768
66.56,0.818,3.245,4.26,1606,15,2.26,0.26,718,7.67,874,993,880,1753
66.06,0.807,3.241,4.243,1466,24,2.27,0.26,719,8.17,889,1013,807,1791
65.29,0.806,3.22,4.216,1383,25,2.27,0.25,679,8.46,883,1035,895,1687
65.15,0.81,3.212,4.224,1460,75,2.27,0.25,667,6.86,890,975,948,1687
65.92,0.785,3.215,4.198,1702,31,2.29,0.27,731,7.86,927,943,1003,1627
65.66,0.801,3.243,4.247,1263,38,2.26,0.27,739,5.96,880,954,853,1813
66.74,0.825,3.256,4.279,1629,54,2.25,0.28,771,8.76,883,854,801,1962
66.7,0.802,3.267,4.259,1653,47,2.28,0.3,824,7.14,952,751,839,1958
67.88,0.814,3.28,4.287,1577,57,2.26,0.31,834,7.07,919,761,810,2010
