gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
69.56,0.899,3.569,4.673,1751,2089,2.18,0.2,545,11.41,780,752,552,2416
69.31,0.898,3.584,4.686,1341,1799,2.14,0.2,545,7.79,728,721,497,2554
68.21,0.923,3.58,4.71,1015,2081,2.06,0.2,545,7.08,571,767,610,2552
69.99,0.91,3.63,4.753,1097,1929,2.07,0.2,545,7.08,595,716,575,2614
69.99,0.911,3.641,4.765,1236,2095,2.04,0.2,545,8.89,554,681,515,2750
69.88,0.917,3.641,4.77,1192,1917,2.07,0.2,545,9.21,610,696,455,2739
70.24,0.883,3.634,4.731,1428,2020,2.07,0.2,545,9.12,577,858,446,2619
69.51,0.901,3.632,4.737,1089,1660,2.05,0.2,545,6.56,541,854,474,2631
69.3,0.866,3.622,4.687,1002,1609,2.09,0.2,545,6.38,628,743,555,2574
68.86,0.93,3.63,4.759,1036,1374,2.07,0.2,545,5.62,617,633,488,2762
69.94,0.956,3.631,4.786,1078,1701,2.06,0.2,545,6.06,600,673,497,2730
69.75,0.939,3.651,4.792,1096,2116,2.02,0.2,545,8.23,529,702,522,2747
70.11,0.96,3.643,4.802,1138,1883,2.04,0.2,545,8.45,577,596,561,2766
69.95,0.998,3.627,4.83,1131,1806,2.04,0.2,545,8.13,562,683,580,2675
69.31,0.985,3.645,4.843,1068,1499,2.01,0.2,545,6.62,511,632,607,2750
69.79,0.927,3.627,4.76,1180,1904,2.03,0.2,545,8.12,534,738,587,2641
69.79,0.967,3.645,4.821,1116,1717,2.02,0.2,545,7.66,529,640,686,2645
69.5,0.918,3.643,4.77,949,1664,2.06,0.2,545,7.61,590,702,590,2618
68.67,0.962,3.621,4.797,1146,1634,2.03,0.2,545,7.27,554,591,680,2675
69.58,1.002,3.687,4.894,1440,1834,1.98,0.2,545,8.99,482,574,612,2832
69.87,0.972,3.657,4.832,1074,1765,2.08,0.2,545,7.17,633,635,525,2707
69.31,0.968,3.651,4.829,1167,1878,2.05,0.2,545,9.3,582,645,521,2752
69.77,0.989,3.657,4.856,1296,1808,2.03,0.2,545,7.97,555,593,545,2807
70.6,0.981,3.672,4.868,1543,1559,2.03,0.2,545,7.84,543,653,527,2777
71.08,0.95,3.652,4.813,1050,1326,2.06,0.2,545,7.45,609,571,558,2762
70.38,0.955,3.643,4.804,1214,1418,2.06,0.2,545,6.31,606,619,549,2726
70.54,0.963,3.678,4.848,1219,1846,2.02,0.2,545,9.03,523,658,514,2805
70.39,0.981,3.677,4.872,1285,1835,2.01,0.2,545,8.65,524,633,491,2852
70.48,0.953,3.677,4.833,1277,1788,2.06,0.2,545,7.65,601,636,503,2760
69.88,0.9,3.661,4.755,894,1472,2.09,0.2,545,5.35,657,618,558,2667
71.47,0.904,3.663,4.768,1310,1588,2.09,0.2,545,7.15,643,635,620,2602
71.06,0.966,3.658,4.827,1190,1633,2.06,0.2,545,6.49,612,548,554,2786
70.4,0.979,3.673,4.862,1126,1709,2.02,0.2,545,7.49,539,600,553,2808
70.63,0.966,3.674,4.85,1105,1417,2.04,0.2,545,6.68,569,590,616,2725
69.86,0.936,3.65,4.796,1062,1627,2.07,0.2,545,7.47,615,634,594,2657
69.86,0.948,3.646,4.803,1287,1772,2.08,0.2,545,9.41,652,577,538,2733
70.31,0.915,3.649,4.775,1155,1627,2.05,0.2,545,7.31,570,671,607,2652
70.56,0.878,3.635,4.717,1152,1694,2.09,0.2,545,6.72,636,679,550,2635
70.0,0.881,3.635,4.721,880,1367,2.11,0.2,545,5.43,675,699,523,2603
71.7,0.913,3.647,4.764,1426,1765,2.09,0.2,545,8.85,654,633,490,2723
72.11,0.894,3.647,4.75,1359,1628,2.09,0.2,545,8.85,644,650,525,2681
71.59,0.924,3.629,4.758,897,1847,2.05,0.2,545,7.38,588,613,628,2671
69.2,0.912,3.63,4.745,1267,1568,2.07,0.2,545,8.38,617,637,575,2671
70.25,0.928,3.679,4.816,1395,1620,2.03,0.2,545,7.79,557,600,632,2711
71.05,0.973,3.665,4.845,1147,1675,2.04,0.2,545,6.49,569,628,518,2785
71.06,0.967,3.645,4.817,1368,1582,2.0,0.2,545,7.89,494,689,518,2799
71.24,1.006,3.622,4.844,1109,1871,2.04,0.2,545,7.77,587,558,544,2811
70.49,1.0,3.65,4.865,1382,1775,2.0,0.2,545,8.44,498,667,527,2808
70.66,0.976,3.621,4.808,1069,1422,2.05,0.2,545,5.73,574,657,603,2666
70.33,0.93,3.619,4.754,1293,1960,2.07,0.2,545,7.86,613,637,578,2672
69.6,0.954,3.634,4.788,1213,2075,2.04,0.2,545,7.35,562,665,577,2696
68.6,0.901,3.648,4.75,857,1259,2.08,0.2,545,5.45,619,694,552,2635
70.19,0.9,3.64,4.738,1314,1813,2.06,0.2,545,8.6,568,771,528,2633
70.6,0.908,3.644,4.756,1219,1662,2.03,0.2,545,7.47,553,623,646,2678
