gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
70.69,0.7,3.518,4.411,2238,84,2.36,0.27,753,7.58,1064,900,616,1920
69.41,0.7,3.519,4.405,1594,87,2.33,0.33,907,5.41,1013,850,619,2018
69.0,0.673,3.489,4.355,1663,94,2.26,0.29,794,6.4,887,910,724,1979
70.33,0.625,3.564,4.38,1777,64,2.28,0.35,950,6.45,918,931,646,2005
70.89,0.601,3.58,4.371,1678,63,2.31,0.33,913,6.21,996,811,679,2014
70.4,0.588,3.658,4.422,1589,95,2.28,0.4,1106,5.32,916,906,688,1990
68.78,0.666,3.581,4.435,1368,144,2.24,0.35,949,4.54,867,857,544,2232
67.53,0.687,3.498,4.367,1286,34,2.23,0.31,863,5.1,844,896,683,2077
67.88,0.686,3.491,4.364,1189,52,2.27,0.28,775,4.4,917,834,707,2042
67.0,0.651,3.528,4.362,1369,0,2.28,0.31,839,4.11,927,831,677,2065
69.13,0.629,3.543,4.352,1378,53,2.28,0.33,915,5.38,942,812,701,2045
69.59,0.698,3.505,4.39,1491,139,2.25,0.3,820,5.68,916,637,776,2171
68.6,0.652,3.551,4.38,1351,93,2.29,0.34,920,4.72,996,623,727,2154
69.4,0.639,3.633,4.445,1533,78,2.26,0.4,1087,5.11,924,671,689,2216
70.03,0.62,3.573,4.378,1397,51,2.32,0.37,1010,4.63,1018,693,817,1972
69.9,0.642,3.527,4.351,1587,104,2.3,0.35,948,6.1,974,787,770,1969
69.46,0.642,3.572,4.389,1447,66,2.32,0.38,1051,4.79,1031,620,783,2066
68.99,0.609,3.538,4.327,1252,50,2.36,0.37,998,4.54,1078,767,746,1909
68.32,0.621,3.524,4.331,1493,48,2.34,0.35,958,5.02,1062,726,773,1939
69.44,0.664,3.62,4.463,1675,52,2.21,0.37,1001,5.85,829,744,846,2081
69.67,0.592,3.573,4.344,1392,31,2.29,0.37,1003,3.8,976,723,774,2027
69.25,0.654,3.541,4.381,1573,62,2.32,0.35,950,5.66,1015,807,663,2015
69.59,0.677,3.565,4.429,1439,81,2.23,0.35,951,4.29,856,779,752,2113
69.81,0.663,3.602,4.452,1575,51,2.23,0.36,985,4.78,850,777,744,2129
68.31,0.672,3.561,4.422,1203,37,2.23,0.32,879,3.62,857,765,803,2075
68.48,0.679,3.488,4.36,1494,63,2.27,0.28,759,4.61,945,690,844,2021
69.47,0.667,3.575,4.432,1556,48,2.23,0.33,904,6.02,857,818,602,2223
69.97,0.627,3.625,4.436,1630,161,2.21,0.39,1061,5.04,807,862,639,2192
70.48,0.612,3.604,4.395,1440,160,2.25,0.38,1047,4.89,900,770,647,2183
70.21,0.616,3.565,4.355,1155,179,2.27,0.38,1033,3.4,921,806,736,2037
71.41,0.619,3.554,4.352,1353,58,2.29,0.35,959,5.13,961,771,840,1928
70.22,0.618,3.546,4.346,1654,126,2.31,0.36,971,5.32,1009,689,910,1892
69.27,0.606,3.601,4.387,1418,19,2.27,0.37,1014,4.51,921,780,800,1999
69.13,0.634,3.596,4.409,1279,117,2.26,0.38,1027,3.37,912,746,787,2055
69.35,0.632,3.598,4.412,1428,56,2.25,0.37,1015,4.49,904,710,812,2074
69.74,0.614,3.57,4.368,1674,82,2.31,0.36,976,5.04,996,738,762,2004
68.92,0.622,3.546,4.358,1115,45,2.3,0.32,882,4.42,977,737,812,1974
69.75,0.643,3.56,4.388,1405,61,2.27,0.34,926,5.6,934,713,741,2112
69.79,0.622,3.555,4.359,1177,32,2.3,0.35,958,3.68,985,739,737,2039
69.81,0.632,3.535,4.358,1518,67,2.32,0.31,847,4.79,1016,721,729,2034
70.47,0.601,3.596,4.382,1518,63,2.38,0.35,968,5.68,1137,699,558,2106
70.23,0.628,3.566,4.379,1336,56,2.32,0.34,919,5.28,1025,679,738,2058
69.84,0.644,3.513,4.34,1703,123,2.35,0.33,896,5.89,1063,744,694,1999
69.15,0.645,3.592,4.422,1437,64,2.27,0.36,997,4.59,947,671,717,2165
70.97,0.602,3.658,4.435,1614,39,2.23,0.42,1140,5.92,870,723,651,2256
70.11,0.615,3.663,4.452,1455,118,2.22,0.42,1137,4.78,868,612,745,2275
70.07,0.62,3.583,4.396,1407,51,2.31,0.35,955,4.93,1021,664,739,2076
70.67,0.63,3.611,4.43,1643,88,2.25,0.4,1099,5.37,904,742,631,2223
70.13,0.653,3.586,4.427,1410,74,2.22,0.37,1025,5.26,861,718,711,2210
70.63,0.614,3.602,4.393,1706,89,2.25,0.38,1049,7.15,901,772,723,2104
69.32,0.592,3.561,4.33,1593,71,2.27,0.36,990,5.92,904,866,877,1853
68.71,0.61,3.539,4.323,976,70,2.32,0.34,934,2.93,1008,810,828,1854
69.62,0.622,3.506,4.307,1494,84,2.31,0.33,905,4.62,979,834,709,1978
69.67,0.607,3.541,4.326,1319,82,2.3,0.37,1019,4.73,1004,612,825,2059
70.48,0.621,3.583,4.384,1569,15,2.25,0.36,985,6.02,892,750,790,2068
70.72,0.652,3.569,4.405,1321,70,2.23,0.34,928,4.8,882,669,786,2163
69.2,0.664,3.531,4.383,1106,58,2.22,0.33,911,3.61,848,763,855,2034
68.18,0.684,3.535,4.408,1495,91,2.24,0.31,849,4.22,878,795,759,2068
69.15,0.618,3.595,4.393,1535,107,2.28,0.36,997,4.31,967,677,742,2114
68.9,0.638,3.621,4.45,1170,15,2.2,0.33,893,3.68,815,757,773,2155
69.17,0.642,3.618,4.444,1558,17,2.27,0.35,969,4.92,917,804,595,2184
69.5,0.597,3.647,4.432,1630,88,2.27,0.34,930,4.36,934,787,638,2141
69.38,0.609,3.598,4.383,1371,22,2.26,0.38,1030,4.46,914,705,844,2037
69.23,0.614,3.605,4.406,1443,108,2.33,0.36,996,5.49,1039,686,723,2052
70.13,0.615,3.558,4.356,1763,122,2.35,0.36,977,5.45,1064,772,730,1934
70.23,0.639,3.548,4.367,1236,125,2.3,0.35,958,5.23,956,854,731,1959
68.56,0.679,3.514,4.371,1263,93,2.26,0.34,937,4.38,894,843,782,1981
68.16,0.629,3.538,4.353,1387,59,2.29,0.34,930,4.86,923,982,749,1846
69.0,0.659,3.462,4.311,1647,157,2.33,0.31,858,6.43,1009,898,856,1737
68.95,0.656,3.592,4.435,1261,53,2.2,0.36,993,4.07,786,834,853,2027
70.8,0.678,3.622,4.484,1440,88,2.2,0.37,1009,4.64,799,809,692,2200
71.23,0.628,3.651,4.452,1357,84,2.24,0.4,1108,4.39,895,671,735,2199
72.41,0.593,3.625,4.394,1540,97,2.29,0.41,1125,5.88,971,715,679,2135
71.08,0.638,3.637,4.45,1395,62,2.24,0.43,1180,4.6,877,761,680,2182
71.17,0.625,3.631,4.428,1293,49,2.26,0.41,1120,5.05,927,705,718,2150
71.0,0.6,3.59,4.367,1473,118,2.29,0.37,1007,5.14,980,687,814,2019
69.8,0.613,3.647,4.448,1520,53,2.25,0.35,956,4.83,906,755,690,2149
70.47,0.607,3.657,4.446,1619,89,2.25,0.35,954,5.35,909,657,784,2150
69.25,0.642,3.589,4.42,1433,76,2.24,0.33,893,4.71,892,700,817,2091
70.52,0.663,3.546,4.397,1776,62,2.3,0.31,839,6.48,990,743,723,2044
70.85,0.642,3.631,4.452,1548,92,2.26,0.35,965,5.58,916,741,687,2156
72.3,0.667,3.642,4.486,1615,30,2.32,0.38,1045,5.96,1031,655,515,2299
71.16,0.585,3.664,4.416,1667,101,2.32,0.41,1127,5.04,1016,731,603,2150
71.55,0.619,3.713,4.506,1474,122,2.22,0.39,1077,4.52,858,721,672,2249
70.63,0.615,3.655,4.443,1361,124,2.28,0.41,1121,4.6,944,759,686,2111
70.91,0.578,3.625,4.376,1477,95,2.37,0.4,1094,3.96,1125,584,757,2034
71.74,0.582,3.606,4.37,1317,74,2.31,0.38,1038,4.49,998,725,783,1994
70.91,0.663,3.543,4.397,1289,22,2.24,0.34,919,4.49,864,783,822,2031
70.47,0.679,3.501,4.365,1296,60,2.25,0.34,944,3.77,887,783,755,2075
69.85,0.647,3.542,4.375,1343,45,2.25,0.36,974,3.92,907,736,776,2081
71.7,0.637,3.545,4.364,1553,65,2.28,0.37,1017,5.09,957,728,799,2016
71.01,0.624,3.577,4.388,1396,91,2.27,0.36,997,5.24,937,729,673,2161
69.86,0.64,3.56,4.383,1467,23,2.18,0.34,932,6.67,754,836,785,2125
70.96,0.631,3.565,4.382,1371,45,2.26,0.36,970,5.37,910,799,775,2016
69.91,0.636,3.576,4.4,1140,8,2.26,0.35,970,3.67,895,838,675,2092
70.31,0.649,3.62,4.454,1685,70,2.23,0.37,1026,5.3,851,860,582,2207
70.0,0.615,3.656,4.454,1690,75,2.21,0.39,1080,5.03,804,914,597,2185
68.62,0.614,3.583,4.379,1513,31,2.23,0.34,941,4.36,848,798,761,2093
69.82,0.625,3.618,4.418,1468,80,2.22,0.39,1073,4.98,840,750,772,2138
