gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,8k,4k,1440p,1080p
205.2,1.097,3.366,4.652,676,783,1.97,0,0,132,177,148,843
204.3,0.993,3.378,4.567,230,447,1.83,0,0,39,278,258,725
210.6,0.944,3.367,4.515,98,151,1.83,0,0,39,291,271,699
210.0,0.983,3.344,4.523,123,119,1.84,0,0,42,296,264,698
206.3,0.932,3.335,4.48,269,384,2.01,0,0,153,144,286,717
203.6,0.932,3.334,4.479,4,105,2.01,0,0,154,144,285,717
203.6,0.913,3.329,4.463,118,287,2.04,0,0,167,144,301,688
202.8,0.929,3.311,4.436,78,571,1.97,0,0,125,180,344,651
208.1,0.743,3.426,4.363,331,190,2.06,0,0,159,242,349,550
208.7,0.804,3.363,4.366,135,271,2.12,0,0,183,279,237,601
206.9,0.769,3.363,4.337,83,205,2.13,0,0,190,279,233,598
