gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.298,2.67,3.149,5.818,992,0,2.46,0,0
5.24,2.846,3.16,6.006,377,0,2.37,0,0
5.333,2.98,3.154,6.134,336,0,2.3,0,0
5.281,3.127,3.154,6.281,310,0,2.25,0,0
5.14,3.134,3.142,6.276,256,0,2.23,0,0
5.143,3.168,3.155,6.323,262,0,2.2,0,0
5.185,3.167,3.155,6.322,175,0,2.18,0,0
5.118,3.139,3.14,6.278,287,0,2.19,0,0
5.15,3.104,3.149,6.253,245,0,2.19,0,0
5.236,3.114,3.151,6.265,281,0,2.17,0,0
5.348,3.152,3.166,6.318,287,0,2.16,0,0
5.279,3.202,3.161,6.363,283,0,2.14,0,0
5.263,3.276,3.164,6.44,335,0,2.12,0,0
5.361,3.443,3.176,6.619,351,0,2.07,0,0
5.271,3.461,3.187,6.647,303,0,2.07,0,0
5.264,3.419,3.185,6.605,235,0,2.08,0,0
5.195,3.357,3.184,6.541,213,0,2.1,0,0
5.256,3.411,3.163,6.574,251,0,2.1,0,0
5.215,3.363,3.171,6.534,221,0,2.09,0,0
5.151,3.318,3.165,6.483,244,0,2.09,0,0
5.136,3.29,3.165,6.455,255,0,2.09,0,0
5.232,3.272,3.161,6.433,301,0,2.09,0,0
5.258,3.21,3.15,6.36,287,0,2.1,0,0
5.235,3.2,3.157,6.358,286,0,2.1,0,0
5.264,3.216,3.162,6.378,282,0,2.09,0,0
5.15,3.23,3.147,6.376,257,0,2.09,0,0
5.349,3.307,3.156,6.463,387,0,2.07,0,0
5.244,3.255,3.151,6.407,321,0,2.09,0,0
5.302,3.343,3.15,6.493,349,0,2.08,0,0
5.325,3.582,3.157,6.739,423,0,2.06,0,0
5.251,3.648,3.165,6.813,337,0,2.06,0,0
5.146,3.536,3.153,6.689,179,0,2.09,0,0
5.25,3.478,3.157,6.636,228,0,2.1,0,0
5.235,3.469,3.157,6.626,282,0,2.08,0,0
5.216,3.409,3.153,6.562,306,0,2.07,0,0
5.294,3.46,3.151,6.611,376,0,2.06,0,0
5.217,3.42,3.146,6.566,292,0,2.07,0,0
5.289,3.514,3.155,6.669,367,0,2.04,0,0
5.314,3.579,3.143,6.722,376,0,2.04,0,0
5.217,3.457,3.144,6.601,307,0,2.05,0,0
5.355,3.548,3.155,6.703,325,0,2.04,0,0
5.245,3.576,3.161,6.736,325,0,2.04,0,0
5.278,3.63,3.157,6.787,283,0,2.03,0,0
5.287,3.609,3.153,6.763,324,0,2.04,0,0
5.297,3.549,3.163,6.713,329,0,2.05,0,0
5.263,3.575,3.167,6.742,311,0,2.03,0,0
5.267,3.525,3.159,6.684,182,0,2.04,0,0
5.321,3.511,3.164,6.675,317,0,2.03,0,0
5.292,3.491,3.16,6.651,372,0,2.05,0,0
5.233,3.554,3.153,6.707,353,0,2.03,0,0
5.096,3.48,3.152,6.631,212,0,2.05,0,0
5.169,3.404,3.158,6.561,196,0,2.06,0,0
5.145,3.341,3.155,6.496,326,0,2.07,0,0
5.19,3.272,3.163,6.435,309,0,2.07,0,0
5.261,3.218,3.164,6.382,286,0,2.07,0,0
5.226,3.209,3.137,6.345,280,0,2.09,0,0
5.214,3.185,3.142,6.327,304,0,2.08,0,0
5.172,3.16,3.142,6.302,268,0,2.09,0,0
5.249,3.152,3.142,6.294,276,0,2.09,0,0
5.266,3.155,3.142,6.296,323,0,2.08,0,0
5.33,3.395,3.141,6.536,398,0,2.04,0,0
5.281,3.466,3.151,6.617,338,0,2.03,0,0
5.312,3.384,3.154,6.538,370,0,2.04,0,0
5.215,3.343,3.159,6.503,221,0,2.06,0,0
5.189,3.317,3.149,6.466,226,0,2.07,0,0
5.202,3.256,3.162,6.418,261,0,2.08,0,0
5.307,3.375,3.167,6.542,363,0,2.07,0,0
5.321,3.46,3.169,6.628,382,0,2.05,0,0
5.239,3.392,3.175,6.567,295,0,2.06,0,0
5.211,3.344,3.176,6.52,297,0,2.06,0,0
5.271,3.376,3.177,6.553,273,0,2.06,0,0
5.298,3.361,3.157,6.518,322,0,2.07,0,0
5.249,3.287,3.148,6.435,258,0,2.09,0,0
5.216,3.276,3.145,6.421,246,0,2.09,0,0
5.209,3.266,3.145,6.411,256,0,2.1,0,0
5.286,3.367,3.157,6.524,365,0,2.08,0,0
5.153,3.354,3.165,6.52,295,0,2.07,0,0
5.234,3.359,3.157,6.516,273,0,2.07,0,0
5.267,3.394,3.169,6.564,346,0,2.05,0,0
5.257,3.422,3.152,6.574,280,0,2.06,0,0
5.323,3.602,3.16,6.762,392,0,2.04,0,0
5.267,3.561,3.151,6.713,280,0,2.05,0,0
5.253,3.595,3.146,6.742,303,0,2.05,0,0
5.222,3.575,3.15,6.726,350,0,2.05,0,0
5.249,3.608,3.153,6.761,255,0,2.05,0,0
5.196,3.573,3.149,6.722,348,0,2.07,0,0
5.223,3.542,3.152,6.695,303,0,2.07,0,0
5.248,3.603,3.139,6.742,425,0,2.06,0,0
5.226,3.567,3.139,6.706,268,0,2.06,0,0
5.154,3.484,3.137,6.621,267,0,2.07,0,0
5.208,3.432,3.143,6.575,225,0,2.08,0,0
5.131,3.334,3.136,6.47,227,0,2.11,0,0
5.261,3.304,3.148,6.452,286,0,2.11,0,0
5.27,3.36,3.162,6.522,369,0,2.08,0,0
5.319,3.373,3.17,6.543,363,0,2.07,0,0
5.351,3.461,3.177,6.638,378,0,2.06,0,0
5.25,3.351,3.173,6.524,319,0,2.09,0,0
5.296,3.361,3.165,6.526,260,0,2.1,0,0
5.228,3.225,3.161,6.386,250,0,2.12,0,0
5.275,3.322,3.156,6.478,365,0,2.12,0,0
5.148,3.252,3.132,6.384,256,0,2.16,0,0
5.261,3.22,3.147,6.367,266,0,2.16,0,0
5.335,3.455,3.156,6.611,391,0,2.12,0,0
5.29,3.52,3.158,6.678,395,0,2.09,0,0
5.17,3.519,3.141,6.66,267,0,2.1,0,0
5.232,3.48,3.143,6.623,268,0,2.09,0,0
5.25,3.499,3.134,6.633,295,0,2.09,0,0
5.359,3.779,3.144,6.923,423,0,2.06,0,0
5.248,3.842,3.138,6.981,406,0,2.05,0,0
5.322,3.794,3.152,6.945,416,0,2.06,0,0
5.26,3.86,3.145,7.004,369,0,2.06,0,0
5.125,3.72,3.141,6.861,210,0,2.08,0,0
5.3,3.698,3.161,6.859,340,0,2.08,0,0
5.393,3.856,3.162,7.018,435,0,2.06,0,0
5.276,3.912,3.164,7.076,288,0,2.06,0,0
5.27,3.842,3.173,7.015,253,0,2.06,0,0
5.221,3.733,3.16,6.894,231,0,2.07,0,0
