gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.087,5.181,2.962,8.143,1733,1328,1770.464,0.0,0
4.893,5.168,2.947,8.115,173,358,1794.066,0.0,0
4.907,5.124,2.941,8.065,90,275,1783.532,0.0,0
4.908,5.002,2.955,7.957,84,274,1804.397,0.0,0
4.894,4.991,2.969,7.96,109,286,1752.558,0.0,0
4.842,4.921,2.966,7.887,74,253,1780.807,0.0,0
4.837,4.869,2.975,7.845,46,241,1797.408,0.0,0
4.8,4.799,2.99,7.79,61,239,1776.118,0.0,0
4.751,4.801,2.995,7.796,76,276,1858.66,0.0,0
4.742,4.725,3.004,7.729,105,265,1871.773,0.0,0
4.795,4.668,3.009,7.677,82,298,1805.477,0.0,0
4.828,4.594,3.004,7.599,72,255,1814.174,0.0,0
4.74,4.492,2.997,7.489,67,276,1810.213,0.0,0
4.801,4.319,2.992,7.311,106,295,1791.045,0.0,0
4.74,4.346,2.983,7.329,85,330,1793.509,0.0,0
4.814,4.266,2.99,7.255,83,280,1865.738,0.0,0
4.78,4.387,2.99,7.377,75,301,1742.825,0.0,0
4.814,4.411,2.99,7.4,96,303,1817.33,0.0,0
4.772,4.442,2.988,7.43,53,296,1814.199,0.0,0
4.73,4.269,2.994,7.263,85,277,1793.688,0.0,0
4.698,4.308,2.994,7.302,88,342,1810.51,0.0,0
4.73,4.32,2.999,7.32,84,329,1767.129,0.0,0
4.776,4.335,2.994,7.33,63,277,1800.565,0.0,0
4.775,4.385,3.001,7.386,63,370,1857.491,0.0,0
4.734,4.324,2.995,7.319,93,298,1808.216,0.0,0
4.751,4.391,2.997,7.388,79,338,1799.141,0.0,0
4.718,4.273,2.994,7.266,101,311,1737.098,0.0,0
4.745,4.264,2.985,7.249,71,331,1833.778,0.0,0
4.74,4.321,2.977,7.298,74,321,1828.346,0.0,0
4.732,4.276,2.988,7.264,93,302,1826.329,0.0,0
4.706,4.3,2.985,7.285,82,316,1789.88,0.0,0
4.716,4.327,2.996,7.323,76,302,1776.931,0.0,0
4.699,4.338,2.992,7.33,66,362,1823.653,0.0,0
4.758,4.444,3.0,7.443,64,403,1868.49,0.0,0
4.701,4.442,2.996,7.438,101,345,1835.965,0.0,0
4.697,4.405,2.997,7.402,90,343,1825.351,0.0,0
4.719,4.406,2.996,7.402,66,294,1797.382,0.0,0
4.734,4.461,2.994,7.455,65,400,1821.255,0.0,0
4.691,4.446,3.006,7.452,87,382,1845.643,0.0,0
4.7,4.402,3.002,7.403,71,382,1896.091,0.0,0
4.718,4.405,2.996,7.401,74,355,1903.165,0.0,0
4.645,4.393,2.996,7.389,66,343,1880.799,0.0,0
4.672,4.468,2.998,7.466,60,323,1790.603,0.0,0
4.658,4.431,2.996,7.427,72,320,1867.054,0.0,0
4.683,4.588,3.003,7.591,66,309,1883.946,0.0,0
4.717,4.555,3.001,7.556,76,373,1797.84,0.0,0
4.703,4.567,3.019,7.585,78,424,1870.404,0.0,0
4.72,4.453,3.003,7.456,93,328,1791.049,0.0,0
4.735,4.481,3.004,7.486,79,405,1781.637,0.0,0
4.683,4.449,3.003,7.452,75,386,1810.468,0.0,0
4.719,4.335,3.013,7.348,99,368,1776.943,0.0,0
4.698,4.353,3.016,7.369,68,358,1793.181,0.0,0
4.669,4.381,3.024,7.406,80,331,1767.712,0.0,0
4.696,4.377,3.021,7.399,98,311,1869.892,0.0,0
4.715,4.472,3.005,7.477,79,381,1787.423,0.0,0
4.723,4.458,3.002,7.459,68,374,1826.849,0.0,0
4.675,4.433,2.996,7.43,58,344,1804.789,0.0,0
4.693,4.4,2.996,7.396,65,366,1838.269,0.0,0
4.7,4.451,2.997,7.448,83,439,1808.198,0.0,0
4.699,4.61,2.988,7.598,78,403,1800.482,0.0,0
4.69,4.581,3.003,7.584,77,305,1810.539,0.0,0
4.739,4.575,3.014,7.589,73,392,1814.093,0.0,0
4.694,4.55,3.012,7.562,93,337,1852.275,0.0,0
4.657,4.526,3.008,7.534,73,372,1829.221,0.0,0
4.657,4.559,3.007,7.566,69,404,1900.121,0.0,0
4.657,4.515,3.016,7.531,85,337,1881.04,0.0,0
4.712,4.471,3.011,7.482,77,337,1869.379,0.0,0
4.664,4.443,3.021,7.464,85,341,1841.648,0.0,0
4.688,4.547,3.011,7.558,76,399,1783.701,0.0,0
4.653,4.578,3.017,7.595,87,447,1802.47,0.0,0
4.679,4.614,3.016,7.63,63,338,1781.46,0.0,0
4.659,4.595,3.034,7.628,58,387,1776.535,0.0,0
4.682,4.64,3.038,7.678,78,388,1849.109,0.0,0
4.64,4.568,3.033,7.6,86,327,1761.993,0.0,0
4.63,4.499,3.017,7.516,102,368,1826.775,0.0,0
4.611,4.549,3.009,7.558,78,377,1785.341,0.0,0
4.633,4.603,3.008,7.611,78,411,1811.958,0.0,0
4.664,4.511,3.002,7.513,74,394,1884.885,0.0,0
4.627,4.504,2.996,7.5,84,349,1825.391,0.0,0
