gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
4.95,4.484,3.182,7.666,0,0,2.45,0,0
4.948,5.072,3.182,8.254,0,0,2.38,0,0
5.033,5.597,3.182,8.779,0,0,2.34,0,0
4.94,5.862,3.182,9.044,0,0,2.31,0,0
4.834,6.373,3.182,9.555,0,0,2.27,0,0
4.876,6.742,3.182,9.924,0,0,2.23,0,0
4.905,6.935,3.182,10.117,0,0,2.21,0,0
4.834,7.405,3.182,10.587,0,0,2.16,0,0
4.785,7.71,3.182,10.891,0,0,2.13,0,0
4.914,7.979,3.182,11.161,0,0,2.11,0,0
5.008,8.187,3.182,11.369,0,0,2.08,0,0
4.96,8.479,3.182,11.661,0,0,2.06,0,0
4.913,8.703,3.182,11.885,0,0,2.03,0,0
5.009,9.005,3.182,12.187,0,0,1.99,0,0
4.932,9.299,3.182,12.481,0,0,1.96,0,0
4.955,9.573,3.182,12.755,0,0,1.95,0,0
4.905,9.906,3.182,13.087,0,0,1.91,0,0
4.96,10.18,3.182,13.362,0,0,1.9,0,0
4.937,10.28,3.182,13.462,0,0,1.89,0,0
4.837,10.44,3.182,13.622,0,0,1.87,0,0
4.865,10.582,3.182,13.764,0,0,1.85,0,0
4.872,10.693,3.182,13.875,0,0,1.85,0,0
4.917,10.894,3.182,14.076,0,0,1.83,0,0
4.905,11.041,3.182,14.223,0,0,1.82,0,0
4.926,11.07,3.182,14.252,0,0,1.8,0,0
4.875,11.114,3.182,14.296,0,0,1.79,0,0
5.012,11.273,3.182,14.455,0,0,1.77,0,0
4.922,11.333,3.182,14.515,0,0,1.77,0,0
4.93,11.441,3.182,14.623,0,0,1.76,0,0
4.973,11.507,3.182,14.689,0,0,1.75,0,0
4.9,11.569,3.182,14.751,0,0,1.75,0,0
4.835,11.59,3.182,14.772,0,0,1.75,0,0
4.899,11.619,3.182,14.801,0,0,1.74,0,0
4.903,11.619,3.182,14.801,0,0,1.73,0,0
4.892,11.611,3.182,14.793,0,0,1.73,0,0
4.965,11.658,3.182,14.84,0,0,1.73,0,0
4.935,11.622,3.182,14.804,0,0,1.73,0,0
4.976,11.669,3.182,14.851,0,0,1.72,0,0
4.998,11.79,3.182,14.972,0,0,1.71,0,0
4.872,11.806,3.182,14.988,0,0,1.7,0,0
4.982,11.79,3.182,14.972,0,0,1.7,0,0
4.869,11.9,3.182,15.082,0,0,1.69,0,0
4.955,11.93,3.182,15.112,0,0,1.69,0,0
4.942,11.88,3.182,15.062,0,0,1.69,0,0
4.944,11.872,3.182,15.054,0,0,1.7,0,0
4.927,11.908,3.182,15.09,0,0,1.7,0,0
4.949,11.854,3.182,15.036,0,0,1.69,0,0
4.967,11.835,3.182,15.017,0,0,1.68,0,0
4.935,11.843,3.182,15.025,0,0,1.68,0,0
4.903,11.766,3.182,14.948,0,0,1.68,0,0
4.832,11.731,3.182,14.913,0,0,1.68,0,0
4.832,11.683,3.182,14.865,0,0,1.68,0,0
4.829,11.678,3.182,14.86,0,0,1.68,0,0
4.884,11.654,3.182,14.836,0,0,1.68,0,0
4.943,11.635,3.182,14.817,0,0,1.69,0,0
4.89,11.598,3.182,14.78,0,0,1.69,0,0
4.915,11.67,3.182,14.852,0,0,1.69,0,0
4.838,11.777,3.182,14.959,0,0,1.69,0,0
4.939,11.836,3.182,15.018,0,0,1.68,0,0
4.97,11.781,3.182,14.963,0,0,1.68,0,0
5.015,11.751,3.182,14.933,0,0,1.68,0,0
4.932,11.798,3.182,14.98,0,0,1.68,0,0
4.97,11.899,3.182,15.081,0,0,1.68,0,0
4.914,11.938,3.182,15.12,0,0,1.69,0,0
4.869,11.966,3.182,15.148,0,0,1.68,0,0
4.884,11.972,3.182,15.154,0,0,1.68,0,0
4.945,11.956,3.182,15.138,0,0,1.68,0,0
5.01,12.047,3.182,15.229,0,0,1.68,0,0
4.957,12.078,3.182,15.259,0,0,1.68,0,0
4.915,12.014,3.182,15.196,0,0,1.68,0,0
4.941,11.949,3.182,15.131,0,0,1.68,0,0
4.933,12.036,3.182,15.218,0,0,1.68,0,0
4.912,12.023,3.182,15.204,0,0,1.68,0,0
4.919,11.952,3.182,15.133,0,0,1.68,0,0
4.945,11.864,3.182,15.046,0,0,1.68,0,0
4.976,11.9,3.182,15.082,0,0,1.69,0,0
4.844,12.039,3.182,15.22,0,0,1.69,0,0
4.904,11.987,3.182,15.169,0,0,1.69,0,0
4.927,12.074,3.182,15.256,0,0,1.69,0,0
4.953,11.982,3.182,15.164,0,0,1.69,0,0
4.956,11.965,3.182,15.146,0,0,1.7,0,0
4.935,11.952,3.182,15.134,0,0,1.69,0,0
4.967,11.868,3.182,15.049,0,0,1.69,0,0
4.92,11.866,3.182,15.048,0,0,1.68,0,0
4.947,11.785,3.182,14.967,0,0,1.68,0,0
4.914,11.842,3.182,15.024,0,0,1.68,0,0
4.925,11.853,3.182,15.035,0,0,1.68,0,0
4.963,11.825,3.182,15.007,0,0,1.68,0,0
4.895,11.822,3.182,15.004,0,0,1.68,0,0
4.84,11.765,3.182,14.947,0,0,1.69,0,0
4.875,11.795,3.182,14.977,0,0,1.68,0,0
4.852,11.872,3.182,15.053,0,0,1.68,0,0
4.911,11.825,3.182,15.007,0,0,1.68,0,0
4.904,11.784,3.182,14.966,0,0,1.68,0,0
4.937,11.805,3.182,14.987,0,0,1.68,0,0
5.013,11.939,3.182,15.121,0,0,1.67,0,0
4.892,11.934,3.182,15.116,0,0,1.67,0,0
4.954,11.948,3.182,15.13,0,0,1.67,0,0
4.917,11.973,3.182,15.155,0,0,1.67,0,0
4.931,11.984,3.182,15.166,0,0,1.67,0,0
4.863,11.938,3.182,15.12,0,0,1.67,0,0
4.95,12.041,3.182,15.223,0,0,1.67,0,0
4.954,11.941,3.182,15.123,0,0,1.67,0,0
4.913,11.896,3.182,15.078,0,0,1.68,0,0
4.873,11.976,3.182,15.158,0,0,1.68,0,0
4.904,11.968,3.182,15.15,0,0,1.68,0,0
4.898,11.959,3.182,15.141,0,0,1.68,0,0
4.989,11.981,3.182,15.163,0,0,1.68,0,0
4.861,11.92,3.182,15.102,0,0,1.68,0,0
4.976,11.866,3.182,15.048,0,0,1.67,0,0
4.894,11.926,3.182,15.108,0,0,1.68,0,0
4.87,11.984,3.182,15.166,0,0,1.68,0,0
4.953,12.022,3.182,15.204,0,0,1.68,0,0
5.044,11.956,3.182,15.138,0,0,1.68,0,0
4.909,11.914,3.182,15.096,0,0,1.68,0,0
4.958,11.889,3.182,15.071,0,0,1.68,0,0
4.912,11.837,3.182,15.019,0,0,1.68,0,0
4.907,11.639,3.182,14.821,0,0,1.68,0,0
4.824,11.605,3.182,14.787,0,0,1.68,0,0
4.959,11.668,3.182,14.85,0,0,1.68,0,0
4.899,11.617,3.182,14.799,0,0,1.68,0,0
4.897,11.562,3.182,14.744,0,0,1.69,0,0
4.965,11.463,3.182,14.645,0,0,1.69,0,0
4.947,11.582,3.182,14.764,0,0,1.69,0,0
4.926,11.641,3.182,14.823,0,0,1.69,0,0
4.98,11.62,3.182,14.802,0,0,1.69,0,0
4.964,11.54,3.182,14.722,0,0,1.7,0,0
4.9,11.612,3.182,14.794,0,0,1.7,0,0
4.839,11.64,3.182,14.822,0,0,1.7,0,0
4.93,11.732,3.182,14.914,0,0,1.7,0,0
4.945,11.777,3.182,14.959,0,0,1.7,0,0
4.961,11.884,3.182,15.065,0,0,1.7,0,0
4.989,11.848,3.182,15.03,0,0,1.69,0,0
4.891,11.836,3.182,15.018,0,0,1.69,0,0
4.912,11.782,3.182,14.964,0,0,1.69,0,0
4.909,11.77,3.182,14.952,0,0,1.69,0,0
4.932,11.853,3.182,15.035,0,0,1.69,0,0
4.919,11.875,3.182,15.057,0,0,1.69,0,0
4.911,11.814,3.182,14.995,0,0,1.68,0,0
4.95,11.867,3.182,15.049,0,0,1.68,0,0
4.99,11.855,3.182,15.037,0,0,1.68,0,0
4.884,11.952,3.182,15.134,0,0,1.68,0,0
4.935,11.969,3.182,15.151,0,0,1.67,0,0
4.894,11.928,3.182,15.11,0,0,1.68,0,0
4.889,11.836,3.182,15.018,0,0,1.68,0,0
4.933,11.838,3.182,15.02,0,0,1.68,0,0
4.974,11.799,3.182,14.981,0,0,1.67,0,0
4.926,11.791,3.182,14.973,0,0,1.67,0,0
4.95,11.821,3.182,15.003,0,0,1.67,0,0
4.906,11.766,3.182,14.948,0,0,1.68,0,0
4.99,11.84,3.182,15.022,0,0,1.68,0,0
4.917,11.645,3.182,14.827,0,0,1.69,0,0
4.957,11.614,3.182,14.796,0,0,1.69,0,0
4.909,11.676,3.182,14.858,0,0,1.68,0,0
4.94,11.605,3.182,14.787,0,0,1.68,0,0
4.916,11.685,3.182,14.867,0,0,1.67,0,0
4.893,11.695,3.182,14.877,0,0,1.68,0,0
4.942,11.673,3.182,14.855,0,0,1.68,0,0
4.954,11.618,3.182,14.8,0,0,1.68,0,0
4.954,11.631,3.182,14.813,0,0,1.68,0,0
4.942,11.599,3.182,14.781,0,0,1.68,0,0
4.904,11.683,3.182,14.865,0,0,1.69,0,0
4.883,11.707,3.182,14.889,0,0,1.7,0,0
4.907,11.706,3.182,14.888,0,0,1.7,0,0
4.99,11.743,3.182,14.925,0,0,1.7,0,0
4.959,11.746,3.182,14.928,0,0,1.7,0,0
4.905,11.771,3.182,14.952,0,0,1.69,0,0
4.954,11.755,3.182,14.937,0,0,1.69,0,0
4.84,11.817,3.182,14.999,0,0,1.69,0,0
4.848,11.822,3.182,15.004,0,0,1.69,0,0
4.779,11.861,3.182,15.043,0,0,1.69,0,0
4.824,11.686,3.182,14.868,0,0,1.7,0,0
4.855,11.636,3.182,14.818,0,0,1.7,0,0
4.901,11.618,3.182,14.8,0,0,1.7,0,0
4.974,11.645,3.182,14.827,0,0,1.7,0,0
4.9,11.582,3.182,14.764,0,0,1.69,0,0
4.965,11.483,3.182,14.665,0,0,1.7,0,0
4.934,11.437,3.182,14.619,0,0,1.7,0,0
4.903,11.382,3.182,14.564,0,0,1.71,0,0
