gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.805,0.133,3.96,4.093,959,0
1.722,0.129,3.876,4.005,70,0
1.764,0.13,3.848,3.977,26,0
1.784,0.115,3.856,3.971,10,0
1.743,0.111,3.843,3.954,12,0
1.771,0.108,3.831,3.939,11,0
1.764,0.109,3.82,3.929,7,0
1.808,0.109,3.817,3.926,8,0
1.798,0.112,3.797,3.909,17,0
1.791,0.11,3.785,3.895,9,0
1.774,0.111,3.771,3.882,15,0
1.775,0.113,3.758,3.871,10,0
1.781,0.107,3.735,3.842,18,0
1.746,0.102,3.733,3.835,8,0
1.708,0.104,3.718,3.821,10,0
1.744,0.106,3.7,3.806,13,0
1.801,0.104,3.683,3.787,14,0
1.817,0.102,3.668,3.77,21,0
1.745,0.1,3.656,3.756,11,0
1.749,0.102,3.632,3.734,21,0
1.734,0.104,3.625,3.729,16,0
1.714,0.105,3.618,3.723,15,0
1.675,0.107,3.591,3.698,14,0
1.685,0.109,3.576,3.685,13,0
1.765,0.111,3.561,3.672,15,0
1.754,0.112,3.556,3.668,12,0
1.684,0.113,3.54,3.653,11,0
1.731,0.111,3.527,3.638,16,0
1.732,0.111,3.52,3.632,15,0
1.724,0.112,3.518,3.63,14,0
1.716,0.114,3.504,3.618,15,0
1.771,0.116,3.49,3.606,21,0
1.754,0.114,3.477,3.591,17,0
1.76,0.115,3.47,3.585,15,0
1.807,0.116,3.459,3.575,11,0
1.774,0.118,3.445,3.562,16,0
1.725,0.12,3.422,3.542,13,0
1.711,0.12,3.411,3.532,16,0
1.752,0.12,3.413,3.533,8,0
1.784,0.121,3.406,3.526,18,0
1.73,0.12,3.417,3.536,15,0
1.783,0.122,3.392,3.514,15,0
1.734,0.123,3.383,3.506,12,0
1.728,0.124,3.372,3.496,21,0
1.676,0.123,3.376,3.5,19,0
1.718,0.125,3.364,3.489,13,0
1.724,0.125,3.364,3.489,17,0
1.759,0.125,3.352,3.477,15,0
1.753,0.126,3.349,3.475,15,0
1.78,0.127,3.341,3.468,8,0
1.782,0.127,3.331,3.458,9,0
1.74,0.128,3.341,3.468,17,0
1.676,0.127,3.338,3.465,18,0
1.716,0.123,3.351,3.474,20,0
1.747,0.124,3.352,3.475,9,0
1.743,0.124,3.354,3.478,11,0
1.741,0.123,3.361,3.484,17,0
1.773,0.124,3.351,3.475,11,0
1.712,0.112,3.358,3.471,12,0
1.752,0.112,3.359,3.471,17,0
1.733,0.114,3.35,3.464,13,0
1.749,0.114,3.351,3.465,13,0
1.769,0.115,3.341,3.456,10,0
1.803,0.115,3.344,3.459,15,0
1.81,0.114,3.354,3.468,14,0
1.765,0.113,3.366,3.479,13,0
1.763,0.111,3.37,3.481,20,0
1.789,0.111,3.378,3.489,11,0
1.696,0.108,3.378,3.487,16,0
1.724,0.108,3.384,3.492,11,0
1.721,0.107,3.381,3.489,11,0
1.734,0.106,3.393,3.5,14,0
1.727,0.107,3.391,3.498,13,0
1.75,0.107,3.382,3.489,17,0
1.778,0.106,3.388,3.494,17,0
1.736,0.105,3.403,3.508,8,0
1.758,0.105,3.393,3.498,15,0
1.706,0.104,3.4,3.504,11,0
1.772,0.105,3.396,3.501,21,0
1.74,0.102,3.401,3.503,20,0
1.764,0.102,3.394,3.496,20,0
1.765,0.103,3.392,3.495,19,0
1.781,0.103,3.394,3.497,14,0
1.77,0.103,3.396,3.499,11,0
1.772,0.101,3.408,3.509,18,0
1.748,0.102,3.403,3.505,16,0
1.779,0.104,3.388,3.492,15,0
1.733,0.104,3.386,3.49,11,0
1.703,0.104,3.393,3.497,14,0
1.715,0.104,3.394,3.498,12,0
1.706,0.103,3.402,3.505,16,0
1.695,0.102,3.409,3.511,12,0
1.74,0.102,3.4,3.503,17,0
1.757,0.103,3.393,3.496,16,0
1.76,0.103,3.402,3.504,16,0
1.783,0.102,3.405,3.507,15,0
1.799,0.102,3.401,3.503,8,0
1.703,0.102,3.415,3.517,17,0
1.716,0.102,3.407,3.509,15,0
1.759,0.102,3.408,3.51,14,0
1.776,0.097,3.407,3.505,11,0
