gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,8k,4k,1440p,1080p
213.9,0.679,3.548,4.366,1039,0,1.96,1.66,334,103,274,328,595
214.8,0.64,3.428,4.216,344,32,1.91,1.66,341,44,454,354,448
215.9,0.641,3.436,4.225,15,0,1.9,1.66,341,44,446,361,449
212.2,0.633,3.421,4.196,133,0,1.92,1.66,341,56,434,371,439
209.4,0.636,3.37,4.157,191,0,2.16,1.66,323,198,290,387,425
206.3,0.635,3.369,4.155,4,0,2.17,1.66,323,200,291,385,424
208.2,0.614,3.388,4.154,44,0,2.25,1.66,335,261,168,458,413
207.0,0.657,3.311,4.122,154,0,2.11,1.69,299,183,214,636,267
217.8,0.525,3.402,4.073,293,0,2.19,1.68,330,213,254,665,168
222.0,0.49,3.436,4.076,95,0,2.29,1.68,369,267,232,616,185
224.8,0.494,3.401,4.061,134,0,2.3,1.69,316,268,248,585,199
