gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
84.83,1.572,3.554,5.32,550,4621,1.94,0.09,318,1.43,546,421,636,3897
81.97,1.822,3.55,5.562,181,3766,1.89,0.09,318,0.65,470,311,441,4278
81.27,1.861,3.554,5.602,117,4070,1.89,0.09,318,0.87,469,330,589,4112
79.95,1.96,3.589,5.744,250,4582,1.8,0.09,318,0.83,279,332,622,4267
79.53,2.125,3.599,5.911,142,4231,1.77,0.1,318,0.73,234,253,516,4497
79.48,2.38,3.6,6.162,86,5092,1.75,0.1,318,1.02,221,91,519,4669
77.32,2.328,3.606,6.12,133,4447,1.79,0.1,318,0.83,290,172,393,4645
76.37,2.396,3.612,6.191,166,4385,1.77,0.1,318,0.72,261,114,394,4731
77.06,2.487,3.611,6.294,141,4675,1.78,0.1,318,0.73,279,96,431,4694
76.16,2.35,3.611,6.16,70,4730,1.79,0.1,318,0.72,283,216,486,4515
76.65,2.393,3.611,6.199,61,4709,1.81,0.1,318,0.65,327,232,387,4554
75.94,2.403,3.611,6.206,100,4490,1.84,0.09,318,0.66,401,121,378,4600
75.46,2.436,3.611,6.232,56,5159,1.75,0.09,318,0.93,186,259,421,4634
76.24,2.262,3.615,6.066,83,4867,1.78,0.1,318,0.73,250,235,503,4512
75.75,2.374,3.615,6.18,32,4671,1.75,0.1,318,0.81,206,200,643,4451
74.37,2.469,3.613,6.277,68,5349,1.78,0.09,318,0.88,275,210,343,4672
75.04,2.57,3.612,6.37,28,4846,1.78,0.1,318,0.78,252,237,330,4681
73.55,2.404,3.619,6.213,130,4786,1.84,0.09,318,0.71,385,243,330,4542
74.74,2.386,3.623,6.197,76,5122,1.76,0.1,318,0.76,226,143,518,4613
73.02,2.514,3.622,6.324,40,4835,1.79,0.09,318,0.77,284,154,414,4648
74.32,2.443,3.624,6.253,56,5129,1.76,0.09,318,0.7,231,166,347,4756
73.54,2.44,3.624,6.253,39,4739,1.75,0.09,318,0.6,193,266,393,4648
73.64,2.522,3.626,6.336,54,4991,1.7,0.1,318,0.77,103,169,503,4725
73.94,2.644,3.627,6.473,40,4651,1.75,0.1,318,0.68,224,99,476,4701
73.57,2.491,3.631,6.318,36,4883,1.8,0.09,318,0.79,270,363,308,4559
73.15,2.437,3.631,6.264,36,4498,1.74,0.09,318,0.7,182,225,344,4749
73.06,2.504,3.628,6.325,37,4466,1.72,0.09,318,0.56,118,292,221,4869
72.36,2.555,3.628,6.377,55,5210,1.73,0.09,318,0.74,144,255,317,4784
72.39,2.341,3.627,6.161,32,5289,1.71,0.09,318,0.88,118,259,284,4839
71.33,2.536,3.628,6.353,59,5424,1.72,0.09,318,0.92,141,203,323,4833
72.57,2.523,3.63,6.339,29,5201,1.74,0.09,318,0.73,182,155,370,4793
