gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
84.64,1.664,3.538,5.398,338,4830,1.83,0.09,318,13.66,301,534,541,4124
82.75,1.84,3.549,5.574,229,4006,1.85,0.09,318,8.88,366,491,353,4290
81.59,1.951,3.554,5.693,180,4028,1.8,0.09,318,8.42,266,465,475,4294
79.68,2.017,3.546,5.754,235,4317,1.82,0.09,318,9.0,321,342,542,4295
79.78,2.201,3.548,5.934,138,4319,1.77,0.1,318,9.25,206,365,414,4515
79.3,2.39,3.547,6.126,137,4745,1.78,0.1,318,9.63,278,148,434,4640
77.77,2.335,3.553,6.072,159,4175,1.81,0.1,318,7.7,323,249,376,4552
75.84,2.389,3.559,6.132,183,4693,1.78,0.1,318,11.16,243,277,326,4654
75.95,2.49,3.555,6.235,70,4931,1.79,0.1,318,10.13,264,262,447,4527
75.71,2.338,3.56,6.093,78,4919,1.77,0.1,318,8.09,222,304,506,4468
75.39,2.35,3.564,6.103,39,4630,1.76,0.1,318,8.62,189,415,402,4494
75.24,2.41,3.568,6.173,77,4519,1.81,0.09,318,9.22,324,203,374,4599
74.54,2.319,3.566,6.072,78,4885,1.76,0.09,318,8.98,204,315,426,4555
74.13,2.368,3.568,6.129,43,4597,1.73,0.1,318,9.06,154,281,390,4675
74.14,2.438,3.568,6.209,69,5301,1.75,0.1,318,10.94,176,340,585,4399
72.55,2.545,3.572,6.31,38,5176,1.74,0.09,318,10.48,164,311,372,4653
73.39,2.551,3.573,6.305,32,5049,1.78,0.1,318,9.86,248,282,259,4711
72.96,2.425,3.576,6.192,70,4646,1.82,0.09,318,8.44,323,326,261,4590
74.05,2.505,3.577,6.269,60,4884,1.78,0.1,318,8.22,262,171,388,4679
72.84,2.585,3.579,6.351,32,4644,1.77,0.09,318,8.25,248,204,400,4648
74.07,2.453,3.582,6.223,21,5222,1.73,0.09,318,8.68,139,337,331,4693
73.59,2.388,3.582,6.155,27,4978,1.74,0.09,318,9.3,161,247,519,4573
73.37,2.57,3.577,6.335,64,5012,1.71,0.1,318,8.71,127,191,393,4789
73.54,2.652,3.578,6.43,47,4519,1.75,0.1,318,7.62,209,202,383,4706
73.02,2.455,3.58,6.225,24,5235,1.75,0.09,318,8.63,171,369,408,4552
73.34,2.399,3.58,6.174,31,4896,1.72,0.09,318,8.79,133,284,405,4678
73.09,2.417,3.58,6.188,31,4496,1.74,0.09,318,9.17,167,314,275,4744
72.1,2.534,3.58,6.303,47,4946,1.72,0.09,318,8.64,131,314,341,4714
72.02,2.376,3.579,6.145,41,5072,1.73,0.09,318,8.58,113,470,193,4724
71.65,2.527,3.578,6.293,63,5410,1.73,0.09,318,8.15,161,265,335,4739
72.1,2.469,3.578,6.232,39,5381,1.73,0.09,318,7.98,156,262,390,4692
72.05,2.506,3.577,6.271,16,5138,1.79,0.09,318,8.37,290,225,438,4547
72.32,2.518,3.578,6.278,28,4688,1.69,0.09,318,6.41,75,243,326,4856
72.12,2.369,3.578,6.126,43,4418,1.8,0.09,318,6.0,293,256,327,4624
71.68,2.456,3.579,6.224,87,4794,1.75,0.09,318,9.66,192,276,421,4611
71.0,2.409,3.578,6.179,35,4881,1.75,0.09,318,7.39,196,285,460,4559
71.34,2.385,3.582,6.147,56,4966,1.78,0.09,318,7.38,238,296,412,4554
71.54,2.466,3.582,6.241,22,4721,1.71,0.09,318,7.07,122,241,413,4724
71.42,2.392,3.581,6.164,19,4816,1.74,0.09,318,7.63,176,239,420,4665
71.53,2.417,3.58,6.183,86,5420,1.77,0.1,318,9.03,237,266,433,4564
71.07,2.456,3.582,6.224,44,5010,1.7,0.09,318,8.52,110,150,403,4837
71.35,2.474,3.583,6.255,29,4939,1.72,0.09,318,8.1,123,253,294,4830
71.37,2.469,3.582,6.253,33,4565,1.77,0.1,318,7.18,227,317,366,4590
71.79,2.45,3.58,6.221,41,5002,1.74,0.1,318,10.87,151,315,389,4645
70.81,2.437,3.578,6.197,31,5294,1.75,0.1,318,8.4,203,216,412,4669
70.03,2.411,3.578,6.172,26,4585,1.75,0.1,318,6.78,183,342,446,4529
70.34,2.429,3.582,6.2,39,5157,1.73,0.09,318,8.11,139,319,319,4723
70.08,2.325,3.584,6.104,75,4902,1.79,0.09,318,7.81,255,386,405,4454
69.67,2.268,3.585,6.048,26,4686,1.79,0.1,318,8.31,272,310,507,4411
70.03,2.411,3.583,6.183,19,5041,1.78,0.1,318,8.29,240,297,397,4566
70.34,2.407,3.584,6.176,12,5165,1.73,0.1,318,10.35,136,287,473,4604
69.58,2.376,3.584,6.158,23,4802,1.78,0.09,318,8.42,226,388,312,4574
69.98,2.472,3.583,6.244,37,5324,1.71,0.09,318,9.76,92,363,320,4725
70.61,2.4,3.589,6.18,49,5383,1.74,0.09,318,8.4,166,290,439,4605
70.55,2.604,3.586,6.381,15,5255,1.72,0.1,318,7.81,141,222,347,4790
71.2,2.607,3.586,6.379,58,5318,1.7,0.1,318,8.44,96,203,441,4760
71.83,2.566,3.588,6.333,17,5046,1.73,0.1,318,9.99,161,145,489,4705
72.08,2.563,3.589,6.346,40,5821,1.71,0.1,318,9.65,111,210,468,4711
71.55,2.537,3.592,6.319,16,5099,1.71,0.1,318,9.99,114,283,402,4701
71.35,2.526,3.591,6.302,39,5470,1.73,0.09,318,8.6,158,202,430,4710
72.08,2.526,3.589,6.302,24,5644,1.72,0.09,318,8.45,113,300,362,4725
70.52,2.493,3.593,6.28,30,5365,1.73,0.1,318,9.51,150,278,475,4597
71.13,2.561,3.594,6.349,13,4882,1.72,0.1,318,7.29,140,207,409,4744
70.47,2.595,3.592,6.381,34,5204,1.68,0.1,318,8.94,56,237,296,4911
70.01,2.542,3.591,6.323,42,4918,1.72,0.1,318,9.37,125,321,320,4734
69.54,2.557,3.59,6.327,16,5191,1.71,0.1,318,10.37,114,184,434,4768
69.52,2.635,3.591,6.4,12,4844,1.7,0.09,318,9.28,110,170,525,4695
70.37,2.641,3.59,6.426,27,5071,1.78,0.09,318,7.96,260,227,374,4639
69.38,2.736,3.59,6.506,17,5154,1.7,0.09,318,8.72,94,203,325,4878
70.0,2.612,3.591,6.394,14,5271,1.74,0.09,318,10.5,182,204,405,4709
69.31,2.564,3.593,6.347,19,5001,1.71,0.09,318,9.26,116,233,368,4783
70.51,2.505,3.594,6.293,23,5200,1.74,0.09,318,9.44,177,262,338,4723
69.9,2.492,3.593,6.273,26,4994,1.76,0.09,318,8.03,226,240,313,4721
70.38,2.476,3.589,6.258,34,5294,1.77,0.1,318,8.89,230,262,415,4593
70.13,2.482,3.593,6.26,29,5154,1.78,0.09,318,8.37,260,229,410,4601
69.67,2.611,3.59,6.388,17,5088,1.72,0.09,318,8.92,146,157,441,4756
69.58,2.609,3.59,6.388,31,5373,1.68,0.09,318,9.67,55,209,471,4765
69.24,2.677,3.59,6.46,33,5215,1.69,0.09,318,7.74,93,179,244,4984
