gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
88.05,1.039,3.558,4.791,2475,2671,1.93,0.09,318,25.98,440,846,722,3492
86.93,1.016,3.552,4.755,2171,2187,1.94,0.1,318,22.14,456,911,745,3388
86.96,1.009,3.575,4.771,1937,2250,1.89,0.09,318,21.13,363,862,544,3731
87.36,1.093,3.58,4.857,1828,2766,1.92,0.09,318,25.46,500,494,868,3638
86.75,1.071,3.623,4.877,2104,2374,1.89,0.1,318,26.96,418,582,697,3803
89.23,1.081,3.631,4.901,2140,2773,1.9,0.1,318,26.37,436,589,734,3741
87.99,1.095,3.647,4.924,2038,2531,1.89,0.1,318,24.28,392,707,618,3783
88.27,1.029,3.641,4.859,2296,1801,1.91,0.09,318,21.79,455,635,651,3759
89.68,1.021,3.629,4.84,2217,2486,1.88,0.1,318,23.55,374,665,766,3695
89.58,1.105,3.606,4.902,1968,2317,1.9,0.1,318,23.85,425,653,740,3682
89.03,1.073,3.606,4.872,2062,2339,1.89,0.1,318,25.86,389,724,698,3689
89.53,1.069,3.614,4.88,2103,2117,1.93,0.09,318,24.89,463,753,593,3691
88.97,1.034,3.622,4.843,2021,2252,1.9,0.09,318,23.15,425,677,707,3691
88.56,1.054,3.627,4.872,1852,2439,1.87,0.1,318,23.65,369,664,735,3732
88.95,1.04,3.613,4.858,2161,2579,1.92,0.1,318,25.63,441,722,772,3565
88.08,1.031,3.651,4.876,2291,2018,1.9,0.09,318,20.35,430,604,650,3816
89.93,1.023,3.645,4.854,2340,2083,1.91,0.1,318,22.47,444,653,732,3671
89.16,1.066,3.655,4.911,2215,2156,1.88,0.1,318,24.52,375,698,706,3721
89.1,1.036,3.649,4.87,2190,2464,1.9,0.1,318,26.7,424,665,728,3683
88.73,1.035,3.64,4.863,2030,2290,1.91,0.1,318,22.57,458,622,643,3777
90.83,1.142,3.633,4.969,2090,2309,1.86,0.09,318,25.14,342,670,603,3885
89.76,1.163,3.636,4.985,2276,2312,1.85,0.09,318,23.72,319,640,623,3918
90.08,1.145,3.645,4.984,2149,2285,1.83,0.1,318,27.31,283,655,613,3949
89.34,1.09,3.625,4.908,1982,2508,1.88,0.09,318,20.41,378,661,554,3907
89.58,1.12,3.619,4.927,1939,2277,1.87,0.09,318,24.03,380,591,757,3772
90.3,1.076,3.659,4.926,2097,2104,1.87,0.09,318,24.2,344,766,626,3764
89.5,1.057,3.632,4.883,2153,2249,1.89,0.09,318,23.72,387,691,721,3701
88.45,1.045,3.659,4.897,2122,2218,1.87,0.09,318,24.9,335,752,647,3766
89.12,1.008,3.63,4.825,2302,2349,1.9,0.09,318,28.82,401,785,642,3672
89.46,1.132,3.638,4.953,2234,2687,1.86,0.09,318,26.71,337,660,638,3865
89.51,1.027,3.648,4.861,2370,2170,1.89,0.09,318,21.65,389,714,573,3824
89.35,1.027,3.615,4.837,1975,2069,1.91,0.09,318,19.33,439,698,672,3691
88.29,1.045,3.62,4.847,1930,2357,1.92,0.09,318,19.52,462,673,593,3772
88.25,1.081,3.622,4.886,1885,2148,1.91,0.09,318,23.29,460,560,670,3810
89.04,1.181,3.637,4.998,2037,2290,1.86,0.09,318,23.82,355,631,612,3902
88.24,1.058,3.619,4.864,1881,1947,1.88,0.09,318,20.37,369,673,666,3792
89.06,1.107,3.639,4.929,2024,2261,1.85,0.09,318,20.55,323,654,604,3919
88.82,1.023,3.642,4.853,1982,2130,1.88,0.09,318,23.06,360,748,662,3730
89.64,1.115,3.651,4.953,2496,2326,1.87,0.09,318,26.51,384,569,620,3927
89.81,1.143,3.646,4.969,2089,2374,1.88,0.1,318,23.94,392,588,596,3924
88.47,1.049,3.65,4.89,2042,1944,1.89,0.09,318,24.48,411,670,580,3839
88.92,0.995,3.643,4.832,2049,2031,1.91,0.1,318,17.68,417,780,671,3632
89.18,0.983,3.641,4.821,1983,1888,1.89,0.1,318,22.5,370,852,675,3603
88.5,1.062,3.635,4.887,1963,2454,1.88,0.1,318,22.61,378,704,676,3742
88.08,1.079,3.627,4.891,1857,2467,1.89,0.1,318,22.57,406,656,745,3693
87.16,1.049,3.653,4.888,1972,2217,1.87,0.1,318,25.17,358,615,787,3740
88.14,1.004,3.629,4.818,2595,2104,1.89,0.09,318,25.83,378,799,617,3706
87.59,0.945,3.615,4.756,2185,1794,1.93,0.09,318,20.53,456,870,673,3501
87.09,1.046,3.593,4.83,2062,2374,1.91,0.1,318,21.53,442,711,750,3597
86.89,1.044,3.602,4.839,2029,2222,1.91,0.1,318,20.69,421,720,744,3615
87.81,1.033,3.615,4.835,2156,2345,1.89,0.1,318,24.07,366,800,736,3598
87.81,1.057,3.609,4.853,2179,2002,1.88,0.1,318,25.13,360,744,603,3793
88.45,0.957,3.628,4.774,2254,2339,1.92,0.09,318,23.65,458,712,706,3624
88.76,1.004,3.643,4.834,1935,2493,1.91,0.1,318,24.81,435,649,724,3692
87.77,0.973,3.648,4.815,2313,2135,1.95,0.1,318,21.89,545,608,713,3634
88.55,1.009,3.622,4.82,2127,2439,1.9,0.1,318,24.61,437,622,689,3752
88.97,1.108,3.633,4.919,2159,2512,1.87,0.1,318,21.84,345,691,672,3792
90.16,1.03,3.639,4.861,2403,2342,1.91,0.1,318,24.87,442,633,630,3795
90.25,1.065,3.656,4.906,2093,1991,1.88,0.1,318,19.87,385,631,637,3847
89.45,1.103,3.639,4.924,2054,2175,1.86,0.09,318,23.4,350,640,705,3805
89.85,1.041,3.615,4.851,2397,2511,1.89,0.09,318,25.46,394,749,575,3782
89.12,1.039,3.643,4.873,2236,2325,1.89,0.1,318,28.1,414,636,663,3787
90.61,1.085,3.635,4.91,2431,2504,1.9,0.1,318,26.6,425,590,746,3739
90.88,1.072,3.63,4.895,2484,2413,1.88,0.1,318,29.49,369,686,698,3747
88.64,1.096,3.626,4.912,1989,2232,1.89,0.1,318,21.97,385,699,710,3706
86.6,1.162,3.612,4.949,1988,2297,1.88,0.1,318,19.14,394,636,732,3738
87.05,1.098,3.616,4.893,1942,2247,1.89,0.09,318,24.77,394,651,730,3725
88.57,1.083,3.64,4.912,2354,2188,1.86,0.09,318,22.83,345,616,714,3825
88.15,1.082,3.647,4.905,2291,2075,1.85,0.09,318,22.92,331,633,750,3786
90.21,1.052,3.658,4.899,2571,1978,1.85,0.09,318,24.13,326,664,623,3887
90.46,1.09,3.633,4.91,2522,2283,1.87,0.09,318,26.14,363,677,675,3785
89.02,1.07,3.634,4.899,2031,2372,1.89,0.09,318,25.89,395,655,645,3805
89.25,1.059,3.63,4.878,2113,2131,1.91,0.09,318,20.68,453,670,596,3781
88.17,1.031,3.622,4.846,2152,2130,1.9,0.09,318,21.14,419,704,679,3698
87.97,1.059,3.637,4.877,2070,2509,1.89,0.09,318,24.01,419,546,762,3773
87.91,1.071,3.614,4.878,2121,2252,1.89,0.09,318,23.04,424,585,662,3829
88.6,1.059,3.638,4.887,2262,2560,1.86,0.09,318,29.38,340,606,732,3822
89.23,1.066,3.657,4.909,2413,2333,1.87,0.09,318,26.96,370,643,643,3844
90.48,1.188,3.644,5.019,2224,2892,1.85,0.09,318,26.61,354,520,685,3941
90.71,1.141,3.661,4.988,2371,2739,1.87,0.09,318,30.8,383,576,558,3983
91.15,1.117,3.626,4.931,2511,2322,1.88,0.09,318,29.43,390,650,586,3874
89.8,1.096,3.659,4.941,2454,2620,1.86,0.09,318,30.63,356,603,691,3850
87.8,1.086,3.664,4.938,2030,2102,1.86,0.09,318,24.85,353,617,714,3816
89.4,1.107,3.646,4.936,2245,2327,1.87,0.09,318,24.19,377,606,693,3824
88.13,1.093,3.623,4.908,2107,2471,1.88,0.09,318,24.94,373,681,675,3771
89.01,1.043,3.635,4.861,1850,2041,1.86,0.09,318,23.54,357,581,849,3713
89.94,1.048,3.642,4.88,2308,2095,1.9,0.1,318,23.14,453,542,696,3809
89.46,1.066,3.625,4.882,1901,2471,1.88,0.09,318,22.1,401,588,742,3769
87.35,1.014,3.633,4.829,2079,2034,1.89,0.09,318,23.48,408,677,620,3795
87.82,1.032,3.656,4.872,1877,2289,1.87,0.09,318,22.33,358,659,682,3801
87.6,1.025,3.638,4.847,1874,2430,1.89,0.1,318,20.87,402,659,792,3647
87.71,1.041,3.635,4.861,2071,2509,1.91,0.09,318,27.35,446,628,682,3744
88.53,1.09,3.624,4.894,2035,2274,1.91,0.1,318,22.53,451,643,725,3681
87.34,1.063,3.648,4.893,2048,2276,1.89,0.1,318,20.88,400,631,755,3714
87.45,1.071,3.638,4.894,2387,2546,1.89,0.1,318,24.27,394,634,840,3632
88.31,1.06,3.623,4.869,2232,2377,1.9,0.1,318,29.36,403,714,696,3687
89.7,1.063,3.643,4.898,2178,2403,1.91,0.1,318,23.33,436,660,643,3761
89.37,1.064,3.635,4.884,1930,1782,1.9,0.1,318,24.07,413,687,680,3720
88.88,1.01,3.621,4.818,1930,2022,1.92,0.1,318,18.95,452,722,745,3581
87.25,1.025,3.624,4.827,1915,2371,1.92,0.1,318,21.68,468,671,729,3632
86.24,1.074,3.622,4.885,2200,2580,1.88,0.1,318,24.83,367,752,660,3721
89.17,1.006,3.634,4.838,2387,2292,1.89,0.1,318,26.38,374,795,651,3680
89.67,0.999,3.646,4.84,2155,1816,1.89,0.09,318,22.85,406,666,698,3730
88.84,1.016,3.628,4.835,2022,2381,1.9,0.1,318,25.95,420,732,647,3701
89.03,1.013,3.618,4.811,2228,2257,1.93,0.09,318,21.31,470,759,633,3638
89.39,1.073,3.623,4.885,2478,2303,1.92,0.1,318,27.27,456,662,596,3786
89.3,1.084,3.613,4.888,2104,2053,1.87,0.1,318,25.08,347,698,714,3741
89.7,1.015,3.632,4.839,2020,2087,1.88,0.1,318,25.33,376,723,702,3699
89.1,1.03,3.626,4.85,2304,2236,1.91,0.1,318,21.7,422,781,636,3661
90.27,1.154,3.636,4.984,2184,2552,1.83,0.1,318,29.07,309,515,733,3943
88.89,1.263,3.601,5.053,2060,2901,1.88,0.09,318,29.93,383,697,536,3884
87.44,1.105,3.613,4.906,2361,2478,1.89,0.1,318,25.1,377,782,612,3729
88.86,1.122,3.624,4.937,2086,2360,1.86,0.1,318,26.45,338,678,727,3757
88.47,1.043,3.64,4.87,2061,2546,1.86,0.1,318,23.66,338,656,715,3791
88.51,1.057,3.619,4.86,2206,2380,1.89,0.09,318,25.59,384,738,699,3679
88.8,1.058,3.645,4.899,2406,2196,1.85,0.1,318,22.09,318,688,728,3766
89.79,1.062,3.632,4.876,2147,2074,1.87,0.1,318,22.95,354,657,724,3765
88.48,1.1,3.634,4.915,1984,2001,1.88,0.1,318,22.85,381,620,690,3809
87.39,1.136,3.648,4.975,2043,2416,1.84,0.1,318,25.88,322,567,658,3953
89.03,1.089,3.615,4.892,1946,2227,1.87,0.09,318,24.58,370,645,691,3794
87.66,1.078,3.624,4.891,2079,2351,1.86,0.1,318,26.2,330,731,686,3753
88.23,1.073,3.626,4.89,2214,2305,1.88,0.1,318,22.86,374,663,729,3734
88.46,1.102,3.62,4.901,2142,2627,1.88,0.1,318,24.6,370,670,656,3804
88.23,1.092,3.62,4.895,2067,2263,1.89,0.1,318,25.92,382,724,722,3672
