gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
89.63,0.718,3.595,4.481,3451,39,2.07,0.31,1031,19.28,689,1102,978,2731
87.1,0.686,3.624,4.467,2178,103,2.08,0.35,1169,13.44,670,1273,973,2584
88.4,0.699,3.611,4.471,2372,17,2.01,0.32,1080,10.7,572,1065,973,2890
87.82,0.66,3.668,4.486,2466,141,1.97,0.37,1233,13.08,503,971,1258,2768
88.03,0.673,3.647,4.473,2283,90,1.98,0.38,1251,11.29,523,995,1192,2790
90.11,0.666,3.693,4.517,2827,59,1.97,0.38,1256,13.71,518,879,1305,2798
89.09,0.659,3.698,4.505,2352,147,1.97,0.43,1438,15.3,486,997,1168,2849
90.68,0.642,3.686,4.479,2613,235,2.03,0.41,1359,16.98,627,969,1112,2792
90.45,0.628,3.683,4.47,2745,134,2.02,0.34,1147,13.82,602,982,1129,2787
89.99,0.624,3.673,4.462,2733,62,2.01,0.37,1225,14.63,572,1074,1133,2721
89.93,0.629,3.69,4.477,2465,34,2.0,0.38,1274,13.69,542,1118,1102,2738
88.72,0.711,3.677,4.554,2224,122,1.99,0.34,1136,11.43,537,1021,1065,2877
89.32,0.659,3.726,4.538,2315,104,1.98,0.37,1239,12.67,542,915,957,3086
89.38,0.624,3.704,4.486,2312,103,2.01,0.42,1418,12.72,576,998,1121,2805
89.92,0.627,3.7,4.49,2459,68,2.01,0.4,1327,12.63,594,903,1081,2922
88.71,0.63,3.672,4.462,2747,70,2.04,0.37,1234,14.34,636,998,1058,2808
90.27,0.615,3.677,4.444,2725,108,2.03,0.36,1210,15.73,595,1087,1176,2642
88.28,0.589,3.777,4.515,2197,113,2.0,0.41,1369,13.26,553,1014,1003,2930
89.5,0.604,3.726,4.482,2462,87,2.0,0.4,1331,14.88,562,1006,1188,2744
89.36,0.582,3.748,4.476,2500,82,1.99,0.44,1467,14.6,538,1060,990,2912
91.32,0.611,3.725,4.486,2677,73,1.98,0.39,1319,14.07,500,1054,998,2948
90.42,0.634,3.743,4.522,2452,60,1.97,0.45,1511,12.94,499,970,1192,2839
90.66,0.636,3.743,4.524,2396,72,1.95,0.43,1436,12.58,476,874,1302,2848
90.45,0.634,3.73,4.526,2104,193,1.98,0.39,1295,13.49,532,878,1267,2823
91.78,0.614,3.722,4.489,2506,159,2.01,0.41,1375,13.92,585,1010,1088,2817
90.68,0.631,3.707,4.499,2476,109,2.01,0.39,1286,11.44,576,1060,1003,2861
89.16,0.656,3.696,4.506,2017,97,1.96,0.4,1341,13.18,475,1009,1182,2834
89.31,0.614,3.691,4.463,2855,73,1.97,0.39,1293,15.87,476,1132,1186,2706
89.8,0.601,3.693,4.443,2570,118,2.05,0.43,1429,16.02,642,1086,899,2873
90.97,0.627,3.7,4.479,2693,119,1.99,0.4,1343,14.77,519,1107,1063,2811
91.65,0.645,3.677,4.475,2526,65,1.98,0.37,1246,15.37,525,967,1174,2834
89.68,0.672,3.66,4.491,2433,68,2.01,0.35,1183,14.71,594,943,1133,2830
88.44,0.66,3.665,4.479,2354,39,1.98,0.36,1190,12.24,522,989,1126,2863
88.66,0.641,3.709,4.496,2241,21,1.96,0.4,1314,13.2,491,933,1340,2736
90.6,0.597,3.748,4.493,2518,91,1.99,0.43,1452,13.09,546,966,1020,2968
89.59,0.604,3.698,4.454,2455,75,2.06,0.4,1323,11.83,683,1025,1001,2791
88.51,0.613,3.702,4.46,2636,78,1.99,0.44,1455,16.96,533,1060,1063,2844
88.42,0.616,3.689,4.456,2202,102,2.01,0.4,1337,12.48,579,977,1027,2917
88.43,0.621,3.659,4.438,2366,130,2.06,0.38,1255,13.17,683,989,1006,2822
90.04,0.644,3.672,4.472,2792,86,2.03,0.35,1172,17.44,622,944,1146,2788
88.21,0.653,3.689,4.5,2684,58,1.97,0.38,1255,16.11,477,1049,1117,2857
89.66,0.651,3.671,4.486,2294,62,1.98,0.39,1288,15.18,486,1115,1083,2816
89.52,0.642,3.728,4.532,2224,76,1.98,0.38,1271,11.4,502,1070,1069,2859
89.39,0.645,3.745,4.539,2335,67,1.98,0.44,1474,14.95,538,848,1240,2874
87.82,0.659,3.736,4.538,2274,177,1.98,0.44,1484,16.32,521,968,1061,2950
89.84,0.641,3.724,4.52,2327,106,1.99,0.38,1278,13.75,548,939,1173,2840
89.13,0.632,3.702,4.49,2829,79,2.01,0.36,1213,15.19,575,1043,950,2932
89.78,0.597,3.703,4.454,2602,161,2.01,0.43,1429,12.88,565,1089,1025,2821
89.11,0.629,3.742,4.522,2432,49,1.97,0.43,1421,13.52,488,1080,1005,2927
88.92,0.578,3.767,4.488,2480,70,1.99,0.43,1434,13.11,533,1039,1090,2838
88.97,0.61,3.719,4.479,2513,29,2.0,0.4,1343,13.29,562,1002,1131,2805
87.58,0.591,3.702,4.454,2474,103,2.04,0.38,1281,12.78,644,1058,930,2868
