gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
95.44,0.827,3.433,4.46,3491,122,2.07,0.21,771,22.62,730,1251,1437,2582
92.55,0.839,3.415,4.434,2897,147,2.07,0.29,1034,23.21,765,1049,1576,2610
91.01,0.87,3.382,4.438,2872,124,2.04,0.26,927,28.5,671,1201,1477,2651
88.35,0.86,3.355,4.404,2720,144,2.05,0.23,832,23.07,712,1159,1584,2545
87.93,0.844,3.341,4.378,2651,117,2.07,0.24,869,20.87,731,1256,1408,2605
88.31,0.842,3.32,4.354,3305,117,2.11,0.23,820,27.53,827,1285,1385,2503
88.11,0.82,3.329,4.335,3286,96,2.11,0.24,868,25.15,790,1365,1527,2318
86.84,0.866,3.306,4.359,2820,64,2.13,0.23,844,25.13,908,1072,1486,2534
85.35,0.864,3.297,4.345,2539,92,2.09,0.22,807,22.22,789,1210,1558,2443
85.04,0.859,3.282,4.332,2279,53,2.14,0.23,818,24.85,909,1192,1377,2522
85.4,0.806,3.295,4.294,2788,74,2.18,0.25,895,25.62,993,1172,1403,2432
87.21,0.866,3.3,4.349,2924,30,2.1,0.23,839,26.12,819,1159,1458,2564
87.43,0.838,3.303,4.333,3002,4,2.11,0.23,844,23.92,816,1293,1475,2416
87.21,0.834,3.324,4.348,3003,65,2.06,0.25,919,28.03,685,1374,1525,2416
89.04,0.837,3.33,4.352,3031,67,2.09,0.28,1010,30.24,757,1307,1394,2542
87.4,0.862,3.307,4.347,2843,153,2.08,0.26,938,24.63,742,1282,1509,2467
86.16,0.877,3.273,4.339,2779,131,2.14,0.22,792,26.42,924,1136,1400,2540
86.41,0.878,3.301,4.376,2605,115,2.05,0.22,803,22.47,680,1241,1548,2531
85.97,0.851,3.315,4.363,2540,126,2.06,0.23,830,25.42,699,1321,1503,2477
86.1,0.864,3.283,4.347,2758,27,2.07,0.22,787,28.47,728,1252,1485,2535
85.29,0.857,3.271,4.318,2423,24,2.12,0.22,802,22.03,851,1235,1456,2458
84.89,0.859,3.293,4.339,2555,71,2.12,0.22,787,21.15,876,1116,1593,2415
85.01,0.913,3.273,4.377,2501,31,2.05,0.21,773,30.18,687,1207,1613,2493
85.77,0.895,3.294,4.378,3340,45,2.06,0.22,783,30.31,707,1277,1374,2642
85.63,0.86,3.282,4.325,2780,93,2.09,0.21,772,28.29,754,1348,1410,2488
86.2,0.893,3.272,4.359,2913,46,2.07,0.21,761,28.47,740,1271,1423,2566
83.56,0.879,3.256,4.329,2414,102,2.09,0.19,673,20.98,755,1336,1564,2345
84.45,0.868,3.316,4.372,2449,91,2.06,0.24,875,24.99,693,1316,1496,2495
85.94,0.854,3.317,4.352,2650,109,2.1,0.25,898,21.71,811,1208,1383,2598
88.06,0.856,3.315,4.366,2876,70,2.08,0.25,901,25.48,765,1249,1403,2583
86.32,0.845,3.332,4.364,2595,109,2.12,0.22,801,22.36,845,1202,1414,2539
87.37,0.858,3.302,4.348,2845,40,2.09,0.23,818,26.3,779,1247,1576,2398
86.58,0.863,3.3,4.359,2627,82,2.14,0.23,818,26.51,935,1061,1396,2608
85.48,0.862,3.285,4.338,2583,43,2.11,0.24,865,23.35,827,1277,1349,2547
86.69,0.874,3.32,4.38,2841,60,2.09,0.25,924,22.31,784,1186,1281,2749
87.75,0.844,3.316,4.339,2660,111,2.15,0.26,946,22.12,942,1077,1335,2646
87.29,0.865,3.316,4.368,2597,27,2.14,0.27,994,29.02,923,1114,1213,2750
88.56,0.854,3.336,4.37,2895,71,2.07,0.28,1025,28.22,748,1155,1458,2639
88.18,0.867,3.318,4.375,3153,40,2.05,0.26,929,26.39,706,1198,1388,2708
86.76,0.849,3.283,4.324,2928,58,2.1,0.23,851,24.81,778,1395,1385,2442
86.65,0.86,3.3,4.361,2830,32,2.06,0.25,909,24.81,685,1344,1396,2575
